CHEMICAL_ID_NUMBER,STRIPPED_CHEMICAL_ID_NUMBER,Nat_Agg_PPV_2015,Nat_Agg_PPV_2014,Nat_Agg_PPV_2013,Nat_Agg_PPV_2012
100-01-6,100016,Withheld,Withheld,Withheld,Withheld
100-06-1,100061,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
10006-28-7,10006287,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
1000-82-4,1000824,Withheld,Withheld,Withheld,Withheld
1000-90-4,1000904,Withheld,Withheld,"< 25,000 lb",Withheld
100-10-7,100107,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
10016-20-3,10016203,Withheld,Withheld,Withheld,Withheld
100-17-4,100174,"< 25,000 lb","< 25,000 lb","100,000 - 500,000 lb","25,000 - 100,000 lb"
10017-56-8,10017568,"100,000 - 500,000 lb","25,000 - 100,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
100-18-5,100185,"50,000,000 - 100,000,000 lb","250,000,000 - 500,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb"
100208-96-6,100208966,Withheld,"< 25,000 lb","< 25,000 lb",Withheld
100-20-9,100209,"10,000,000 - 50,000,000 lb","50,000,000 - 100,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
100-21-0,100210,"5,000,000,000 - 10,000,000,000 lb","5,000,000,000 - 10,000,000,000 lb","5,000,000,000 - 10,000,000,000 lb","5,000,000,000 - 10,000,000,000 lb"
10022-31-8,10022318,"500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb"
10024-66-5,10024665,"25,000 - 100,000 lb","500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb"
10024-93-8,10024938,Withheld,Withheld,Withheld,Withheld
10024-97-2,10024972,"50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb"
10025-67-9,10025679,"50,000,000 - 100,000,000 lb","100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb","50,000,000 - 100,000,000 lb"
10025-73-7,10025737,"100,000 - 500,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
10025-78-2,10025782,"1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","750,000,000 - 1,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb"
10025-82-8,10025828,Withheld,Withheld,Withheld,Withheld
10025-87-3,10025873,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
10026-04-7,10026047,"1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","750,000,000 - 1,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb"
10026-11-6,10026116,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
10026-12-7,10026127,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
1002-62-6,1002626,Withheld,Withheld,Withheld,Withheld
1002-67-1,1002671,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
1002-69-3,1002693,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
10027-33-5,10027335,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
10028-18-9,10028189,Withheld,Withheld,Withheld,Withheld
10028-22-5,10028225,"500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb"
1002-84-2,1002842,Withheld,Withheld,Withheld,Withheld
1002-89-7,1002897,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
10031-30-8,10031308,"750,000,000 - 1,000,000,000 lb","750,000,000 - 1,000,000,000 lb","750,000,000 - 1,000,000,000 lb","750,000,000 - 1,000,000,000 lb"
1003300-72-8,1003300728,Withheld,Withheld,Withheld,Withheld
10034-77-2,10034772,"20,000,000,000 - 30,000,000,000 lb","20,000,000,000 - 30,000,000,000 lb","20,000,000,000 - 30,000,000,000 lb","20,000,000,000 - 30,000,000,000 lb"
10034-85-2,10034852,Withheld,Withheld,Withheld,Withheld
10035-10-6,10035106,"100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb"
100-37-8,100378,"1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb","1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb"
10038-98-9,10038989,"100,000 - 500,000 lb",Withheld,Withheld,Withheld
10039-54-0,10039540,"750,000,000 - 1,000,000,000 lb","750,000,000 - 1,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","750,000,000 - 1,000,000,000 lb"
100402-75-3,100402753,Withheld,Withheld,Withheld,Withheld
100402-78-6,100402786,Withheld,Withheld,Withheld,Withheld
100402-82-2,100402822,Withheld,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
100402-91-3,100402913,Withheld,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb",Withheld
100-40-3,100403,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
100-41-4,100414,"10,000,000,000 - 20,000,000,000 lb","10,000,000,000 - 20,000,000,000 lb","10,000,000,000 - 20,000,000,000 lb","10,000,000,000 - 20,000,000,000 lb"
1004-14-4,1004144,Withheld,Withheld,Withheld,Withheld
100-42-5,100425,"10,000,000,000 - 20,000,000,000 lb","10,000,000,000 - 20,000,000,000 lb","10,000,000,000 - 20,000,000,000 lb","10,000,000,000 - 20,000,000,000 lb"
10042-59-8,10042598,Withheld,Withheld,Withheld,Withheld
10042-76-9,10042769,"1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb"
10043-01-3,10043013,"1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb"
10043-11-5,10043115,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
10043-35-3,10043353,"500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb"
10043-52-4,10043524,"1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb"
100-43-6,100436,Withheld,Withheld,Withheld,Withheld
10043-67-1,10043671,Withheld,Withheld,Withheld,Withheld
100-44-7,100447,"50,000,000 - 100,000,000 lb","10,000,000 - 50,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb"
10045-95-1,10045951,"25,000 - 100,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
100-46-9,100469,Withheld,Withheld,Withheld,Withheld
100-47-0,100470,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","< 25,000 lb"
100-48-1,100481,Withheld,Withheld,Withheld,Withheld
10048-98-3,10048983,Withheld,Withheld,Withheld,Withheld
10049-04-4,10049044,"1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb"
10049-06-6,10049066,"< 25,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
10049-36-2,10049362,"1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb"
100-50-5,100505,Withheld,Withheld,Withheld,Withheld
10051-44-2,10051442,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
100-51-6,100516,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
100517,100517,Withheld,Withheld,Withheld,Withheld
10052-47-8,10052478,"< 25,000 lb","25,000 - 100,000 lb","< 25,000 lb","25,000 - 100,000 lb"
100-52-7,100527,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
100545-50-4,100545504,Withheld,Withheld,Withheld,Withheld
100-54-9,100549,Withheld,Withheld,Withheld,Withheld
1005-67-0,1005670,"< 25,000 lb",Withheld,Withheld,Withheld
10058-23-8,10058238,Withheld,Withheld,Withheld,Withheld
10058-44-3,10058443,Withheld,Withheld,Withheld,Withheld
100-61-8,100618,Withheld,Withheld,Withheld,Withheld
100-64-1,100641,"250,000,000 - 500,000,000 lb","250,000,000 - 500,000,000 lb","500,000,000 - 750,000,000 lb","250,000,000 - 500,000,000 lb"
100-66-3,100663,"25,000 - 100,000 lb","25,000 - 100,000 lb","100,000 - 500,000 lb","500,000 - 1,000,000 lb"
100-69-6,100696,Withheld,Withheld,Withheld,Withheld
100-70-9,100709,Withheld,Withheld,Withheld,Withheld
100-74-3,100743,"500,000 - 1,000,000 lb",Withheld,Withheld,Withheld
100765-57-9,100765579,Withheld,Withheld,Withheld,Withheld
