Internal Tracking Number,Substance Name,CAS,Active Status,ID
650051,"2,4-D, salts and esters",,,
649921,Antimony compounds,,,
649939,Arsenic compounds,,,
649947,Beryllium compounds,,,
649954,Cadmium compounds,,,
701250,Organic Carbon portion of PM2.5-PRI,,,
17134149,Ceramic Fibers (Man-Made Fibers),,,
649541,Glycol ethers,,,
649962,Chromium compounds,,,
649970,Cobalt compounds,,,
649830,Coke oven emissions,,,
649988,Cyanide compounds,,,
650069,Dibenzofurans,,,
17000407,"Dioxins/Furans as 2,3,7,8-TCDD TEQs - WHO2005",,,
17134131,Extractable Organic Matter (EOM),,,
649533,Fine mineral fibers,,,
649996,Glycol ethers,,,
1739571,Hydrofluorocarbons,,,
650002,Lead compounds,,,
650010,Manganese compounds,,,
650028,Mercury compounds,,,
650036,Nickel compounds,,,
715532,Nickel Refinery Dust,,,
17134099,Nitrogen Oxides,,,
1758051,PAH/POM - Unspecified,,,
650077,"4,6-Dinitro-o-cresol, and salts",,,
649707,Polycyclic organic matter,,,
524672318,PM Condensible,,,
524672284,PM10 Primary (Filt + Cond),,,
524672276,PM10 Filterable,,,
524672300,PM2.5 Primary (Filt + Cond),,,
524672292,PM2.5 Filterable,,,
19117,4-Nitrophenol,100-02-7,,100-02-7
19406,Ethyl benzene,100-41-4,,100-41-4
19414,Styrene,100-42-5,,100-42-5
19430,Benzyl chloride,100-44-7,,100-44-7
524671930,Diethylene Glycol Ethyl Methyl Ether,1002-67-1,,1002-67-1
166389,Nitrous Oxide,10024-97-2,,10024-97-2
650515,Iodine 131,10043-66-0,,10043-66-0
19943,"4,4-Methylene bis(2-chloroaniline)",101-14-4,,101-14-4
20263,MDI,101-68-8,,101-68-8
20263,Methylene diphenyl diisocyanate,101-68-8,,101-68-8
20347,"4,4'-Methylenedianiline",101-77-9,,101-77-9
524672003,Ethyleneglycol Mono-2-Methylpentyl Ether,10137-96-9,,10137-96-9
524672011,"Ethyleneglycolmono-2,6,8-Trimethyl-4-Nonyl Ether",10137-98-1,,10137-98-1
168823,Diethylene Glycol Ethylvinyl Ether,10143-53-0,,10143-53-0
524671948,Diethylene Glycol Mono-2-Cyanoethyl Ether,10143-54-1,,10143-54-1
524671963,Diethyleneglycol-Mono-2-Methyl-Pentyl Ether,10143-56-3,,10143-56-3
524671864,3-Butoxy-1-Propanol,10215-33-5,,10215-33-5
22921,Caprolactam,105-60-2,Inactive,105-60-2
23580,p-Xylenes,106-42-3,,106-42-3
23606,p-Cresol,106-44-5,,106-44-5
23622,"1,4-Dichlorobenzene(p)",106-46-7,,106-46-7
23663,p-Phenylenediamine,106-50-3,,106-50-3
23671,Quinone,106-51-4,,106-51-4
23937,"1,2-Epoxybutane",106-88-7,,106-88-7
23945,"1-Chloro-2,3-epoxypropane",106-89-8,,106-89-8
23945,Epichlorohydrin,106-89-8,,106-89-8
23986,Dibromoethane,106-93-4,,106-93-4
23986,Ethylene dibromide,106-93-4,,106-93-4
24042,"1,3-Butadiene",106-99-0,,106-99-0
24075,Acrolein,107-02-8,,107-02-8
24109,Allylchloride,107-05-1,,107-05-1
24117,"1,2-Dichloroethane",107-06-2,,107-06-2
24117,Ethylene dichloride,107-06-2,,107-06-2
24182,Acrylonitrile,107-13-1,,107-13-1
24257,Ethylene glycol,107-21-1,,107-21-1
24299,Chloromethyl methyl ether,107-30-2,,107-30-2
24828,Vinyl acetate,108-05-4,,108-05-4
24851,Hexone,108-10-1,,108-10-1
24851,Methyl isobutyl ketone,108-10-1,,108-10-1
25015,Maleic Anhydride,108-31-6,,108-31-6
25056,m-Xylenes,108-38-3,,108-38-3
25064,m-Cresol,108-39-4,,108-39-4
25452,Toluene,108-88-3,,108-88-3
25478,Chlorobenzene,108-90-7,,108-90-7
25510,Phenol,108-95-2,,108-95-2
26211,Ethylene Glycol Methyl Ether,109-86-4,,109-86-4
26708,Ethylene Glycol Monomethyl Ether Acetate,110-49-6,,110-49-6
26740,Hexane,110-54-3,,110-54-3
26906,"1,2-Dimethoxyethane",110-71-4,,110-71-4
26989,Cellosolve Solvent,110-80-5,,110-80-5
27235,Methoxyethyl Oleate,111-10-4,,111-10-4
27284,Cellosolve Acetate,111-15-9,,111-15-9
27516,Diethanolamine,111-42-2,,111-42-2
27532,Bis(2-chloroethyl)ether,111-44-4,,111-44-4
27532,Dichloroethyl ether,111-44-4,,111-44-4
27854,Diethylene Glycol Monomethyl Ether,111-77-3,,111-77-3
27979,Diethylene Glycol Monoethyl Ether,111-90-0,,111-90-0
28027,Diethylene Glycol Dimethyl Ether,111-96-6,,111-96-6
28100,2-Butoxyethyl Acetate,112-07-2,,112-07-2
28167,Carbitol Acetate,112-15-2,,112-15-2
28266,2-(Hexyloxy)Ethanol,112-25-4,,112-25-4
28282,Triethylene glycol,112-27-6,,112-27-6
28340,Diethylene Glycol Monobutyl Ether,112-34-5,,112-34-5
28357,Methoxytriglycol,112-35-6,,112-35-6
28365,Diethylene Glycol Diethyl Ether,112-36-7,,112-36-7
28472,Triethylene Glycol Dimethyl Ether,112-49-2,,112-49-2
28480,Ethoxytriglycol,112-50-5,,112-50-5
28563,N-Hexyl Carbitol,112-59-4,,112-59-4
79012,"1,3-Propane sultone",1120-71-4,,1120-71-4
28928,Propoxur,114-26-1,,114-26-1
28928,Baygon,114-26-1,,114-26-1
29934,DEHP,117-81-7,,117-81-7
29934,Bis(2-ethylhexyl)phthalate,117-81-7,,117-81-7
30346,Hexachlorobenzene,118-74-1,,118-74-1
30924,"3,3-Dimethoxybenzidine",119-90-4,,119-90-4
30940,"3,3'-Dimethyl benzidine",119-93-7,,119-93-7
31013,Anthracene,120-12-7,,120-12-7
31278,Diethylene Glycol Dibenzoate,120-55-8,,120-55-8
31427,Catechol,120-80-9,,120-80-9
31435,"1,2,4-Trichlorobenzene",120-82-1,,120-82-1
176768,Nickel Subsulfide,12035-72-2,,12035-72-2
31575,"2,4-Dinitrotoluene",121-14-2,,121-14-2
31708,Triethylamine,121-44-8,,121-44-8
31880,"N,N-Diethyl aniline",121-69-7,,121-69-7
31880,"N,N-Dimethylaniline",121-69-7,,121-69-7
32425,"1,2-Diphenylhydrazine",122-66-7,,122-66-7
32664,Phenyl Cellosolve,122-99-6,,122-99-6
32904,Hydroquinone,123-31-9,,123-31-9
32953,Propionaldehyde,123-38-6,,123-38-6
33241,"1,4-Diethyleneoxide",123-91-1,,123-91-1
33241,"1,4-Dioxane",123-91-1,,123-91-1
33449,Butyl Carbitol Acetate,124-17-4,,124-17-4
33548,Carbon Dioxide,124-38-9,,124-38-9
34090,Chloroprene,126-99-8,,126-99-8
34157,Tetrachloroethylene,127-18-4,,127-18-4
34157,Perchloroethylene,127-18-4,,127-18-4
34843,Pyrene,129-00-0,,129-00-0
627059,"PAH, total",130498-29-2,,130498-29-2
35295,Dimethyl phthalate,131-11-3,,131-11-3
82891,Nickel Oxide,1313-99-1,,1313-99-1
83550,Cresols/Cresylic acid (isomers and mixture),1319-77-3,,1319-77-3
35709,Dibenzofuran,132-64-9,,132-64-9
35790,Captan,133-06-2,,133-06-2
35956,Chloramben,133-90-4,,133-90-4
84970,Xylenes (isomers and mixture),1330-20-7,,1330-20-7
85282,Asbestos,1332-21-4,,1332-21-4
85571,Chromium Trioxide,1333-82-0,,1333-82-0
85878,Polychlorinated biphenyls,1336-36-3,,1336-36-3
192690,Potassium-40,13966-00-2,,13966-00-2
192815,Polonium-210,13981-52-7,,13981-52-7
192856,Radium-226,13982-63-3,,13982-63-3
524672052,Methyl Cellosolve Acetylricinoleate,140-05-6,,140-05-6
37929,Ethyl acrylate,140-88-5,,140-88-5
194316,Lead-210,14255-04-0,,14255-04-0
194514,Thorium-230,14269-63-7,,14269-63-7
194522,Thorium-228,14274-82-9,,14274-82-9
39248,Triglycol Monobutyl Ether,143-22-6,,143-22-6
197186,Nitrate portion of PM2.5-PRI,14797-55-8,,14797-55-8
197491,Radon-222,14859-67-7,,14859-67-7
40279,Ethylene imine,151-56-4,,151-56-4
40279,Aziridine,151-56-4,,151-56-4
40477,Calcium cyanamide,156-62-7,,156-62-7
89060,Trifluralin,1582-09-8,,1582-09-8
650317,3-Methoxy-1-Propanol,1589-49-7,,1589-49-7
203000,Chromium III,16065-83-1,,16065-83-1
89870,Methyl tert butyl ether,1634-04-4,,1634-04-4
205153,Di(Ethylene Glycol Monobutyl Ether) Phthalate,16672-39-2,,16672-39-2
91918,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",1746-01-6,,1746-01-6
212357,Chromium (VI),18540-29-9,,18540-29-9
40543,"Dibenzo[a,i]Pyrene",189-55-9,,189-55-9
40550,"Dibenzo[a,h]Pyrene",189-64-0,,189-64-0
213421,Diethylene Glycol Monoisobutyl Ether,18912-80-6,,18912-80-6
40576,"Benzo[g,h,i,]Perylene",191-24-2,,191-24-2
40584,"Dibenzo[a,l]Pyrene",191-30-0,,191-30-0
40600,"Dibenzo[a,e]Pyrene",192-65-4,,192-65-4
40618,Benzo[e]Pyrene,192-97-2,,192-97-2
40626,"Indeno[1,2,3-c,d]Pyrene",193-39-5,,193-39-5
40634,"7H-Dibenzo[c,g]carbazole",194-59-2,,194-59-2
214783,"1,2,3,7,8,9-Hexachlorodibenzo-p-Dioxin",19408-74-3,,19408-74-3
524672417,Benzo(c)phenanthrene,195-19-7,,195-19-7
40642,Perylene,198-55-0,,198-55-0
524671880,"Benzo(g,h,i)Fluoranthene",203-12-3,,203-12-3
40659,Benzo(a)Fluoranthene,203-33-8,,203-33-8
40675,Benzo[j]fluoranthene,205-82-3,,205-82-3
