Internal Tracking Number,Substance Name,CAS,Category,Last BRMentiona,ID
1057,Cyclophosphamide,50-18-0,Other drugs,2005,50-18-0
1099,"Estradiol, 17?-",50-28-2,Hormones,2009,50-28-2
1115,Benzo(a)pyrene,50-32-8,PAHs,2005,50-32-8
1198,Aspirin,50-78-2,Other drugs,2005,50-78-2
1586,Trichlorofon,52-68-6,Pesticides,2005,52-68-6
1644,Estrone,53-16-7,Hormones,2011,53-16-7
1701,Indometacine,53-86-1,Other drugs,2005,53-86-1
1875,N-nitrosodiethylamine (NDEA),55-18-5,Nitrosamines,2015,55-18-5
1909,Fenthion,55-38-9,Pesticides,2005,55-38-9
2071,Carbon tetrachloride,56-23-5,Organics,2005,56-23-5
2212,Benz(a)anthracene,56-55-3,PAHs,2005,56-55-3
2444,Cyanide,57-12-5,Organics,2005,57-12-5
2618,Chlortetracycline,57-62-5,Antibiotics,2009,57-62-5
2626,"Ethynyl estradiol, 17?-",57-63-6,Hormones,2005,57-63-6
2667,Sulfamethazine,57-68-1,Antibiotics,2009,57-68-1
2691,Progesterone,57-83-0,Hormones,2009,57-83-0
2717,Cholesterol,57-88-5,Steroids,2007,57-88-5
2741,Caffeine,58-08-2,Other drugs,2011,58-08-2
2758,Dimethylaminophenazone,58-15-1,Other drugs,2005,58-15-1
2774,Testosterone,58-22-0,Hormones,2009,58-22-0
2899,Diphenhydramine,58-73-1,Other drugs,2013,58-73-1
3400,Dimethoate,60-51-5,Pesticides,2005,60-51-5
3434,Phenazone,60-80-0,Other drugs,2005,60-80-0
3707,N-nitrosodimethylamine (NDMA),62-75-9,Nitrosamines,2015,62-75-9
3764,Sulfanilamide,63-74-1,Antibiotics,2009,63-74-1
4317,Chloroform,67-66-3,Organics,2005,67-66-3
4457,Sulfadiazine,68-35-9,Antibiotics,2009,68-35-9
4523,Salicylic acid,69-72-7,Other drugs,2005,69-72-7
4846,Sulfathiazole,72-14-0,Antibiotics,2009,72-14-0
7161,"Ethanol, 2-butoxy-phosphate",78-51-3,Organics,2005,78-51-3
8045,Tetrabromobisphenol A,79-94-7,Organics,2005,79-94-7
8110,Bisphenol A,80-05-7,Plastics,2011,80-05-7
8516,Cholestanol,80-97-7,Steroids,2009,80-97-7
8615,"Dimethyl-3,5-dinitro-4-tert- butylacetophenone, 2,6-",81-14-1,Odorants,2005,81-14-1
8623,"Xylene, musk",81-15-2,Odorants,2005,81-15-2
8979,Warfarin,81-81-2,Other drugs,2009,81-81-2
9571,Skatole,83-34-1,NA,2007,83-34-1
10025,"Di-n-butyl phthalate (Butoxyphosphate ethanol, 2-)",84-74-2,Plasticizers,2005,84-74-2
10199,Phenanthrene,85-01-8,PAHs,2007,85-01-8
10702,N-nitrosodiphenylamine (NDPhA),86-30-6,Nitrosamines,2015,86-30-6
12450,Mesalazine,89-57-6,Other drugs,2005,89-57-6
13326,Napthalene,91-20-3,PAHs,2005,91-20-3
13524,"Methylnaphthalene, 2-",91-57-6,PAHs,2005,91-57-6
13532,"Chloronaphthalene, 2-",91-58-7,Organics,2005,91-58-7
13847,"Chloro-4-phenylphenol, 2-",92-04-6,Antimicrobial,2015,92-04-6
16139,"Xylene, o-",95-47-6,Solvents,2005,95-47-6
16519,"Trichlorophenol, 2,4,5-",95-95-4,Antimicrobial,2015,95-95-4
17228,Bis(5-chloro- 2hydroxyphenyl)methane,97-23-4,Antimicrobial,2015,97-23-4
19117,"Nitrophenol, p-",100-02-7,Organics,2005,100-02-7
19406,Ethylbenzene,100-41-4,Organics,2005,100-41-4
19414,Styrene,100-42-5,Organics,2005,100-42-5
19695,N-nitrosopiperidine (NPIP),100-75-4,Nitrosamines,2015,100-75-4
19976,Minocycline,10118-90-8,Antibiotics,2009,10118-90-8
21774,Triclocarban,101-20-2,Antibiotics,2013,101-20-2
22046,Glyburide,10238-21-8,Other drugs,2013,10238-21-8
23580,Heptachlor epoxide,1024-57-3,Pesticides,2005,1024-57-3
23606,Acetaminophen,103-90-2,Other drugs,2005,103-90-2
23622,"Nonylphenol, 4-",104-40-5,Surfactants,2007,104-40-5
23630,Clinafloxacin,105956-97-6,Antibiotics,2009,105956-97-6
25056,"Xylene, p",106-42-3,Solvents,2005,106-42-3
25296,"Cresol, p- (4-methylphenol)",106-44-5,Preservative,2007,106-44-5
25452,"Dichlorobenzene, 1,4-",106-46-7,Pesticides,2005,106-46-7
29272,Triphenyl phosphate,115-86-6,Pesticides,2005,115-86-6
29322,Tris(2-chloroethyl) phosphate,115-96-8,Organics,2005,115-96-8
29934,Bis (2-ethylhexyl) phthalate,117-81-7,SVOCs,2005,117-81-7
29967,Di-n-octyl phthalate,117-84-0,Organics,2005,117-84-0
31120,"Benzyl-4-chlorophenol, 2-",120-32-1,Antimicrobial,2015,120-32-1
31377,Indole,120-72-9,Fragrance,2007,120-72-9
34157,Tetrachloroethylene,127-18-4,Solvents,2005,127-18-4
34405,Sulfamerazine,127-79-7,Antibiotics,2005,127-79-7
34496,Butylated hydroxy toluene,128-37-0,Other drugs,2005,128-37-0
34504,"Di-tert-butylphenol, 2,6-",128-39-2,Other drugs,2005,128-39-2
34843,Pyrene,129-00-0,PAHs,2009,129-00-0
