Internal Tracking Number,Substance Name,CAS,Active Status,ID
40717,Acenaphthylene,208-96-8,Active,208-96-8
9555,"Acenaphthylene, 1,2-dihydro-",83-32-9,Active,83-32-9
31013,Anthracene,120-12-7,Active,120-12-7
149963,Antimony,7440-36-0,Active,7440-36-0
182782,Aroclor 1016,12674-11-2,Active,12674-11-2
182782,Aroclor 1016,12674-11-2,Active,12674-11-2
173153,Aroclor 1221,11104-28-2,Active,11104-28-2
173153,Aroclor 1221,11104-28-2,Active,11104-28-2
173583,Aroclor 1232,11141-16-5,Active,11141-16-5
173583,Aroclor 1232,11141-16-5,Active,11141-16-5
149989,Arsenic,7440-38-2,Active,7440-38-2
85282,Asbestos,1332-21-4,Active,1332-21-4
2212,Benz[a]anthracene,56-55-3,Active,56-55-3
2212,Benz[a]anthracene,56-55-3,Active,56-55-3
40683,Benz[e]acephenanthrylene,205-99-2,Active,205-99-2
40683,Benz[e]acephenanthrylene,205-99-2,Active,205-99-2
10702,"Benzenamine, N-nitroso-N-phenyl-",86-30-6,Active,86-30-6
4754,Benzene,71-43-2,Active,71-43-2
1107,"Benzene, 1,1'-(2,2,2-trichloroethylidene)bis[4-chloro-",50-29-3,Active,50-29-3
4937,"Benzene, 1,1'-(2,2-dichloroethylidene)bis[4-chloro-",72-54-8,Active,72-54-8
4937,"Benzene, 1,1'-(2,2-dichloroethylidene)bis[4-chloro-",72-54-8,Active,72-54-8
4945,"Benzene, 1,1'-(dichloroethenylidene)bis[4-chloro-",72-55-9,Active,72-55-9
4945,"Benzene, 1,1'-(dichloroethenylidene)bis[4-chloro-",72-55-9,Active,72-55-9
30346,"Benzene, 1,2,3,4,5,6-hexachloro-",118-74-1,Active,118-74-1
31435,"Benzene, 1,2,4-trichloro-",120-82-1,Active,120-82-1
16162,"Benzene, 1,2-dichloro-",95-50-1,Active,95-50-1
52217,"Benzene, 1,3-dichloro-",541-73-1,Active,541-73-1
23622,"Benzene, 1,4-dichloro-",106-46-7,Active,106-46-7
20172,"Benzene, 1-bromo-4-phenoxy-",101-55-3,Active,101-55-3
146647,"Benzene, 1-chloro-4-phenoxy-",7005-72-3,Active,7005-72-3
31575,"Benzene, 1-methyl-2,4-dinitro-",121-14-2,Active,121-14-2
58875,"Benzene, 2-methyl-1,3-dinitro-",606-20-2,Active,606-20-2
25478,"Benzene, chloro-",108-90-7,Active,108-90-7
19406,"Benzene, ethyl-",100-41-4,Active,100-41-4
25452,"Benzene, methyl-",108-88-3,Active,108-88-3
18408,"Benzene, nitro-",98-95-3,Active,98-95-3
29934,"1,2-Benzenedicarboxylic acid, 1,2-bis(2-ethylhexyl) ester",117-81-7,Active,117-81-7
10025,"1,2-Benzenedicarboxylic acid, 1,2-dibutyl ester",84-74-2,Active,84-74-2
9985,"1,2-Benzenedicarboxylic acid, 1,2-diethyl ester",84-66-2,Active,84-66-2
35295,"1,2-Benzenedicarboxylic acid, 1,2-dimethyl ester",131-11-3,Active,131-11-3
29967,"1,2-Benzenedicarboxylic acid, 1,2-dioctyl ester",117-84-0,Active,117-84-0
10470,"1,2-Benzenedicarboxylic acid, 1-butyl 2-(phenylmethyl) ester",85-68-7,Active,85-68-7
1115,Benzo[a]pyrene,50-32-8,Active,50-32-8
1115,Benzo[a]pyrene,50-32-8,Active,50-32-8
40576,Benzo[ghi]perylene,191-24-2,Active,191-24-2
40576,Benzo[ghi]perylene,191-24-2,Active,191-24-2
40709,Benzo[k]fluoranthene,207-08-9,Active,207-08-9
150003,Beryllium,7440-41-7,Active,7440-41-7
14498,"[1,1'-Biphenyl]-4,4'-diamine",92-87-5,Active,92-87-5
13755,"[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dichloro-",91-94-1,Active,91-94-1
11346,"1,3-Butadiene, 1,1,2,3,4,4-hexachloro-",87-68-3,Active,87-68-3
150029,Cadmium,7440-43-9,Active,7440-43-9
740548,"Chlordane, technical, and/or chlordane metabolites",,Active,
150060,Chromium,7440-47-3,Active,7440-47-3
40733,Chrysene,218-01-9,Active,218-01-9
150086,Copper,7440-50-8,Active,7440-50-8
2444,Cyanide,57-12-5,Active,57-12-5
42200,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.alpha.,4.beta.,5.alpha.,6.beta.)-",319-86-8,Active,319-86-8
42184,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.beta.,4.alpha.,5.beta.,6.beta.)-",319-84-6,Active,319-84-6
2923,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.beta.,4.alpha.,5.alpha.,6.beta.)-",58-89-9,Active,58-89-9
2923,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.beta.,4.alpha.,5.alpha.,6.beta.)-",58-89-9,Active,58-89-9
42192,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.beta.,3.alpha.,4.beta.,5.alpha.,6.beta.)-",319-85-7,Active,319-85-7
7187,"2-Cyclohexen-1-one, 3,5,5-trimethyl-",78-59-1,Active,78-59-1
6494,"1,3-Cyclopentadiene, 1,2,3,4,5,5-hexachloro-",77-47-4,Active,77-47-4
1685,"Dibenz[a,h]anthracene",53-70-3,Active,53-70-3
1685,"Dibenz[a,h]anthracene",53-70-3,Active,53-70-3
91918,"Dibenzo[b,e][1,4]dioxin, 2,3,7,8-tetrachloro-",1746-01-6,Active,1746-01-6
91918,"Dibenzo[b,e][1,4]dioxin, 2,3,7,8-tetrachloro-",1746-01-6,Active,1746-01-6
4887,"2,7:3,6-Dimethanonaphth[2,3-b]oxirene, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, (1aR,2R,2aR,3R,6S,6aS,7S,7aS)-rel-",72-20-8,Active,72-20-8
3426,"2,7:3,6-Dimethanonaphth[2,3-b]oxirene, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, (1aR,2R,2aS,3S,6R,6aR,7S,7aS)-rel-",60-57-1,Active,60-57-1
42002,"1,4:5,8-Dimethanonaphthalene, 1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-hexahydro-, (1.alpha.,4.alpha.,4a.beta.,5.alpha.,8.alpha.,8a.beta.)-",309-00-2,Active,309-00-2
27987,"Ethane, 1,1'-[methylenebis(oxy)]bis[2-chloro-",111-91-1,Active,111-91-1
27532,"Ethane, 1,1'-oxybis[2-chloro-",111-44-4,Active,111-44-4
4341,"Ethane, 1,1,1,2,2,2-hexachloro-",67-72-1,Active,67-72-1
4796,"Ethane, 1,1,1-trichloro-",71-55-6,Active,71-55-6
7773,"Ethane, 1,1,2,2-tetrachloro-",79-34-5,Active,79-34-5
7518,"Ethane, 1,1,2-trichloro-",79-00-5,Active,79-00-5
5520,"Ethane, 1,1-dichloro-",75-34-3,Active,75-34-3
24117,"Ethane, 1,2-dichloro-",107-06-2,Active,107-06-2
5223,"Ethane, chloro-",75-00-3,Active,75-00-3
26948,"Ethene, (2-chloroethoxy)-",110-75-8,Active,110-75-8
34157,"Ethene, 1,1,2,2-tetrachloro-",127-18-4,Active,127-18-4
7526,"Ethene, 1,1,2-trichloro-",79-01-6,Active,79-01-6
5538,"Ethene, 1,1-dichloro-",75-35-4,Active,75-35-4
40469,"Ethene, 1,2-dichloro-, (1E)-",156-60-5,Active,156-60-5
5231,"Ethene, chloro-",75-01-4,Active,75-01-4
5231,"Ethene, chloro-",75-01-4,Active,75-01-4
40691,Fluoranthene,206-44-0,Active,206-44-0
10892,9H-Fluorene,86-73-7,Active,86-73-7
32425,"Hydrazine, 1,2-diphenyl-",122-66-7,Active,122-66-7
40626,"Indeno[1,2,3-cd]pyrene",193-39-5,Active,193-39-5
40626,"Indeno[1,2,3-cd]pyrene",193-39-5,Active,193-39-5
149583,Lead,7439-92-1,Active,7439-92-1
149633,Mercury,7439-97-6,Active,7439-97-6
3707,"Methanamine, N-methyl-N-nitroso-",62-75-9,Active,62-75-9
52498,"Methane, 1,1'-oxybis[1-chloro-",542-88-1,Inactive,542-88-1
5074,"Methane, bromo-",74-83-9,Active,74-83-9
5074,"Methane, bromo-",74-83-9,Active,74-83-9
5462,"Methane, bromodichloro-",75-27-4,Active,75-27-4
5116,"Methane, chloro-",74-87-3,Active,74-87-3
33597,"Methane, dibromochloro-",124-48-1,Active,124-48-1
5306,"Methane, dichloro-",75-09-2,Active,75-09-2
5306,"Methane, dichloro-",75-09-2,Active,75-09-2
5801,"Methane, dichlorodifluoro-",75-71-8,Inactive,75-71-8
2071,"Methane, tetrachloro-",56-23-5,Active,56-23-5
2071,"Methane, tetrachloro-",56-23-5,Active,56-23-5
5447,"Methane, tribromo-",75-25-2,Active,75-25-2
5447,"Methane, tribromo-",75-25-2,Active,75-25-2
4317,"Methane, trichloro-",67-66-3,Active,67-66-3
4317,"Methane, trichloro-",67-66-3,Active,67-66-3
5785,"Methane, trichlorofluoro-",75-69-4,Inactive,75-69-4
6262,"4,7-Methano-1H-indene, 1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tetrahydro-",76-44-8,Active,76-44-8
76737,"6,9-Methano-2,4,3-benzodioxathiepin, 6,7,8,9,10,10-hexachloro-1,5,5a,6,9,9a-hexahydro-, 3,3-dioxide",1031-07-8,Active,1031-07-8
75333,"6,9-Methano-2,4,3-benzodioxathiepin, 6,7,8,9,10,10-hexachloro-1,5,5a,6,9,9a-hexahydro-, 3-oxide, (3.alpha.,5a.beta.,6.alpha.,9.alpha.,9a.beta.)-",959-98-8,Active,959-98-8
263996,"6,9-Methano-2,4,3-benzodioxathiepin, 6,7,8,9,10,10-hexachloro-1,5,5a,6,9,9a-hexahydro-, 3-oxide, (3.alpha.,5a.alpha.,6.beta.,9.beta.,9a.alpha.)-",33213-65-9,Active,33213-65-9
76661,"2,5-Methano-2H-indeno[1,2-b]oxirene, 2,3,4,5,6,7,7-heptachloro-1a,1b,5,5a,6,6a-hexahydro-,(1aR,1bS,2R,5S,5aR,6S,6aR)-rel-",1024-57-3,Active,1024-57-3
149336,"1,2,4-Methenocyclopenta[cd]pentalene-5-carboxaldehyde, 2,2a,3,3,4,7-hexachlorodecahydro-, (1.alpha.,2.beta.,2a.beta.,4.beta.,4a.beta.,5.beta.,6a.beta.,6b.beta.,7R*)-",7421-93-4,Active,7421-93-4
13326,Naphthalene,91-20-3,Active,91-20-3
13532,"Naphthalene, 2-chloro-",91-58-7,Active,91-58-7
149674,Nickel,7440-02-0,Active,7440-02-0
298950,PCB 1242,53469-21-9,Active,53469-21-9
298950,PCB 1242,53469-21-9,Active,53469-21-9
182766,PCB 1248,12672-29-6,Active,12672-29-6
182766,PCB 1248,12672-29-6,Active,12672-29-6
173047,PCB 1254,11097-69-1,Active,11097-69-1
173047,PCB 1254,11097-69-1,Active,11097-69-1
173021,PCB 1260,11096-82-5,Active,11096-82-5
173021,PCB 1260,11096-82-5,Active,11096-82-5
10199,Phenanthrene,85-01-8,Active,85-01-8
25510,Phenol,108-95-2,Active,108-95-2
11437,"Phenol, 2,3,4,5,6-pentachloro-",87-86-5,Active,87-86-5
11536,"Phenol, 2,4,6-trichloro-",88-06-2,Active,88-06-2
31443,"Phenol, 2,4-dichloro-",120-83-2,Active,120-83-2
22970,"Phenol, 2,4-dimethyl-",105-67-9,Active,105-67-9
1313,"Phenol, 2,4-dinitro-",51-28-5,Active,51-28-5
16238,"Phenol, 2-chloro-",95-57-8,Active,95-57-8
51102,"Phenol, 2-methyl-4,6-dinitro-",534-52-1,Active,534-52-1
12005,"Phenol, 2-nitro-",88-75-5,Active,88-75-5
3103,"Phenol, 4-chloro-3-methyl-",59-50-7,Active,59-50-7
19117,"Phenol, 4-nitro-",100-02-7,Active,100-02-7
62257,"1-Propanamine, N-nitroso-N-propyl-",621-64-7,Active,621-64-7
7393,"Propane, 1,2-dichloro-",78-87-5,Active,78-87-5
279893,"Propane, 2,2'-oxybis[2-chloro-",39638-32-9,Active,39638-32-9
24075,2-Propenal,107-02-8,Active,107-02-8
52449,"1-Propene, 1,3-dichloro-",542-75-6,Active,542-75-6
24182,2-Propenenitrile,107-13-1,Active,107-13-1
34843,Pyrene,129-00-0,Active,129-00-0
154310,Selenium,7782-49-2,Active,7782-49-2
149849,Silver,7440-22-4,Active,7440-22-4
149898,Thallium,7440-28-0,Active,7440-28-0
156919,Toxaphene,8001-35-2,Active,8001-35-2
150235,Zinc,7440-66-6,Active,7440-66-6
