Container Ports,Dry Bulk Ports,Tonnage Ports,Latitude,Longitude,Port ID,Port Profile Name,Region,Dry only
Container,,,42.350939,-71.05229,149,Port of Boston,Atlantic Coast,No
Container,,,42.350939,-71.05229,149,Port of Boston,Atlantic Coast,No
Container,,,42.350939,-71.05229,149,Port of Boston,Atlantic Coast,No
Container,,,42.350939,-71.05229,149,Port of Boston,Atlantic Coast,No
Container,,,42.350939,-71.05229,149,Port of Boston,Atlantic Coast,No
Container,,,30.322757,-81.665125,2017,Port of Jacksonville,Atlantic Coast,No
Container,,,30.322757,-81.665125,2017,Port of Jacksonville,Atlantic Coast,No
Container,,,30.322757,-81.665125,2017,Port of Jacksonville,Atlantic Coast,No
Container,,,26.76904,-80.05267,2162,Port of Palm Beach,Atlantic Coast,No
Container,,,26.76904,-80.05267,2162,Port of Palm Beach,Atlantic Coast,No
Container,,,26.093392,-80.117801,2163,Port Everglades,Atlantic Coast,No
Container,,,26.093392,-80.117801,2163,Port Everglades,Atlantic Coast,No
Container,,,26.093392,-80.117801,2163,Port Everglades,Atlantic Coast,No
Container,,,25.782862,-80.181642,2164,Port of Miami,Atlantic Coast,No
Container,,,25.782862,-80.181642,2164,Port of Miami,Atlantic Coast,No
Container,Dry Bulk,Tonnage,40.673949,-74.038357,398,Port of New York and New Jersey,Atlantic Coast,No
Container,Dry Bulk,Tonnage,40.673949,-74.038357,398,Port of New York and New Jersey,Atlantic Coast,No
Container,Dry Bulk,Tonnage,40.673949,-74.038357,398,Port of New York and New Jersey,Atlantic Coast,No
Container,Dry Bulk,Tonnage,40.673949,-74.038357,398,Port of New York and New Jersey,Atlantic Coast,No
Container,,Tonnage,39.91882,-75.202191,552,Port of Philadelphia,Atlantic Coast,No
Container,,Tonnage,39.91882,-75.202191,552,Port of Philadelphia,Atlantic Coast,No
Container,,Tonnage,39.91882,-75.202191,552,Port of Philadelphia,Atlantic Coast,No
Container,,,39.71589,-75.50697,554,Port of Wilmington (DE),Atlantic Coast,No
Container,,,39.71589,-75.50697,554,Port of Wilmington (DE),Atlantic Coast,No
Container,,,39.71589,-75.50697,554,Port of Wilmington (DE),Atlantic Coast,No
Container,Dry Bulk,Tonnage,36.86642,-76.31174,5700,Port of Virginia,Atlantic Coast,No
Container,Dry Bulk,Tonnage,36.86642,-76.31174,5700,Port of Virginia,Atlantic Coast,No
Container,Dry Bulk,Tonnage,39.20899,-76.51712,700,Port of Baltimore,Atlantic Coast,No
Container,Dry Bulk,Tonnage,39.20899,-76.51712,700,Port of Baltimore,Atlantic Coast,No
Container,,,34.239278,-77.953954,766,Port of Wilmington (NC),Atlantic Coast,No
Container,,,34.239278,-77.953954,766,Port of Wilmington (NC),Atlantic Coast,No
Container,,,34.239278,-77.953954,766,Port of Wilmington (NC),Atlantic Coast,No
Container,,,32.788781,-79.921595,773,Port of Charleston,Atlantic Coast,No
Container,,,32.788781,-79.921595,773,Port of Charleston,Atlantic Coast,No
Container,,,32.788781,-79.921595,773,Port of Charleston,Atlantic Coast,No
Container,,,32.788781,-79.921595,773,Port of Charleston,Atlantic Coast,No
Container,,,32.788781,-79.921595,773,Port of Charleston,Atlantic Coast,No
Container,,Tonnage,32.084711,-81.095382,776,Port of Savannah,Atlantic Coast,No
Container,,Tonnage,32.084711,-81.095382,776,Port of Savannah,Atlantic Coast,No
Container,,Tonnage,32.084711,-81.095382,776,Port of Savannah,Atlantic Coast,No
Container,,Tonnage,32.084711,-81.095382,776,Port of Savannah,Atlantic Coast,No
,Dry Bulk,,41.47852,-81.67191,3217,Port of Cleveland,Great Lakes,Yes
,Dry Bulk,,42.269094,-83.109586,3321,Port of Detroit,Great Lakes,Yes
,Dry Bulk,,41.67586,-87.44547,3738,Port of Indiana Harbor,Great Lakes,Yes
,Dry Bulk,,41.88662,-87.63799,3749,Port of Chicago,Great Lakes,Yes
,Dry Bulk,Tonnage,46.778362,-92.096408,3924,Port of Duluth-Superior,Great Lakes,No
,Dry Bulk,,47.00428,-91.66261,3926,Port of Two Harbors,Great Lakes,Yes
,,Tonnage,30.34802,-88.55879,2004,Port of Pascagoula,Gulf Coast & Mississippi River,No
Container,Dry Bulk,Tonnage,30.72527,-88.04113,2005,Port of Mobile,Gulf Coast & Mississippi River,No
,Dry Bulk,Tonnage,27.78534,-82.52235,2021,Port of Tampa,Gulf Coast & Mississippi River,No
,Dry Bulk,Tonnage,27.78534,-82.52235,2021,Port of Tampa,Gulf Coast & Mississippi River,No
