Code 2004 and prior,Method 2004 and prior,Category 2004 and prior,Code 2005 and after,Method 2005 and after,Category 2005 and after,Type of waste management,"If it is treatment, what kind of?",Objective,Output carrier,Output by products,Note,Support
A01,Flare,Air Emissions Treatment,A01,Flare,Air Emissions Treatment,Treatment,Incineration,Destruction,,S/L/A,Residual (bottom) ash and fly ash (from incombustible materials)/Liquid that was in waste stream (knock-out drum)/traces of organic and inorganic compounds may be in the exhaust gases,Tb/Tf/Metal_indicator
A02,Condenser,Air Emissions Treatment,A02,Condenser,Air Emissions Treatment,Treatment,Physical,Removal,L,,*The gaseous waste may have water,
A03,Scrubber,Air Emissions Treatment,A03,Scrubber,Air Emissions Treatment,Treatment,Physical,Removal,L/W,,The absorbent could be water or other liquid,Kow
A04,Absorber,Air Emissions Treatment,A04,Absorber,Air Emissions Treatment,Treatment,Physical,Removal,L/W,,The absorbent could be water or other liquid,Kow
A05,Electrostatic Precipitator,Air Emissions Treatment,A05,Electrostatic Precipitator,Air Emissions Treatment,Treatment,Physical,Removal,S,,,
A06,Mechanical Separation,Air Emissions Treatment,A06,Mechanical Separation,Air Emissions Treatment,Treatment,Physical,Removal,S,,,
A07,Other Air Emission Treatment,Air Emissions Treatment,A07,Other Air Emission Treatment,Air Emissions Treatment,Treatment,Physical,Removal,Unknown,,,
B11,Aerobic,Biological Treatment,H081,Biological treatment with or without precipitation,Biological Treatment,Treatment,Biological,Degradation,,,,
B21,Anaerobic,Biological Treatment,H081,Biological treatment with or without precipitation,Biological Treatment,Treatment,Biological,Degradation,,,,
B31,Facultative,Biological Treatment,H081,Biological treatment with or without precipitation,Biological Treatment,Treatment,Biological,Degradation,,,,
B99,Other Biological Treatment,Biological Treatment,H081,Biological treatment with or without precipitation,Biological Treatment,Treatment,Biological,Degradation,,,,
C01,Chemical Precipitation - Lime or Sodium Hydroxide,Chemical Treatment,H071,Chemical reduction with or without precipitation,Chemical Treatment,Treatment,Chemical,Conversion,,,,
C02,Chemical Precipitation - Sulfide,Chemical Treatment,H071,Chemical reduction with or without precipitation,Chemical Treatment,Treatment,Chemical,Conversion,,,,
C09,Chemical Precipitation - Other,Chemical Treatment,H077,Other chemical precipitation with or without pretreatment,Chemical Treatment,Treatment,Chemical,Conversion,,,,
C11,Neutralization,Chemical Treatment,H121,Neutralization,Chemical Treatment,Treatment,Chemical,Conversion,,,,
C21,Chromium Reduction,Chemical Treatment,H071,Chemical reduction with or without precipitation,Chemical Treatment,Treatment,Chemical,Conversion,,,,
