Primary_Street,Commonly_Used_Street_Suffix_or_Abbreviation,Postal_Service_Standard_Suffix_Abbreviation
ALLEY,ALLEE,ALY
ALLEY,ALLEY,ALY
ALLEY,ALLY,ALY
ALLEY,ALY,ALY
ANEX,ANEX,ANX
ANEX,ANNEX,ANX
ANEX,ANNX,ANX
ANEX,ANX,ANX
ARCADE,ARC,ARC
ARCADE,ARCADE,ARC
AVENUE,AV,AVE
AVENUE,AVE,AVE
AVENUE,AVEN,AVE
AVENUE,AVENU,AVE
AVENUE,AVENUE,AVE
AVENUE,AVN,AVE
AVENUE,AVNUE,AVE
BAYOU,BAYOO,BYU
BAYOU,BAYOU,BYU
BEACH,BCH,BCH
BEACH,BEACH,BCH
BEND,BEND,BND
BEND,BND,BND
BLUFF,BLF,BLF
BLUFF,BLUF,BLF
BLUFF,BLUFF,BLF
BLUFFS,BLUFFS,BLFS
BOTTOM,BOT,BTM
BOTTOM,BTM,BTM
BOTTOM,BOTTM,BTM
BOTTOM,BOTTOM,BTM
BOULEVARD,BLVD,BLVD
BOULEVARD,BOUL,BLVD
BOULEVARD,BOULEVARD,BLVD
BOULEVARD,BOULV,BLVD
BRANCH,BR,BR
BRANCH,BRNCH,BR
BRANCH,BRANCH,BR
BRIDGE,BRDGE,BRG
BRIDGE,BRG,BRG
BRIDGE,BRIDGE,BRG
BROOK,BRK,BRK
BROOK,BROOK,BRK
BROOKS,BROOKS,BRKS
BURG,BURG,BG
BURGS,BURGS,BGS
BYPASS,BYP,BYP
BYPASS,BYPA,BYP
BYPASS,BYPAS,BYP
BYPASS,BYPASS,BYP
BYPASS,BYPS,BYP
CAMP,CAMP,CP
CAMP,CP,CP
CAMP,CMP,CP
CANYON,CANYN,CYN
CANYON,CANYON,CYN
CANYON,CNYN,CYN
CAPE,CAPE,CPE
CAPE,CPE,CPE
CAUSEWAY,CAUSEWAY,CSWY
CAUSEWAY,CAUSWA,CSWY
CAUSEWAY,CSWY,CSWY
CENTER,CEN,CTR
CENTER,CENT,CTR
CENTER,CENTER,CTR
CENTER,CENTR,CTR
CENTER,CENTRE,CTR
CENTER,CNTER,CTR
CENTER,CNTR,CTR
CENTER,CTR,CTR
CENTERS,CENTERS,CTRS
CIRCLE,CIR,CIR
CIRCLE,CIRC,CIR
CIRCLE,CIRCL,CIR
CIRCLE,CIRCLE,CIR
CIRCLE,CRCL,CIR
CIRCLE,CRCLE,CIR
CIRCLES,CIRCLES,CIRS
CLIFF,CLF,CLF
CLIFF,CLIFF,CLF
CLIFFS,CLFS,CLFS
CLIFFS,CLIFFS,CLFS
CLUB,CLB,CLB
CLUB,CLUB,CLB
COMMON,COMMON,CMN
COMMONS,COMMONS,CMNS
CORNER,COR,COR
CORNER,CORNER,COR
CORNERS,CORNERS,CORS
CORNERS,CORS,CORS
COURSE,COURSE,CRSE
COURSE,CRSE,CRSE
COURT,COURT,CT
COURT,CT,CT
COURTS,COURTS,CTS
COURTS,CTS,CTS
COVE,COVE,CV
COVE,CV,CV
COVES,COVES,CVS
CREEK,CREEK,CRK
CREEK,CRK,CRK
CRESCENT,CRESCENT,CRES
CRESCENT,CRES,CRES
CRESCENT,CRSENT,CRES
CRESCENT,CRSNT,CRES
CREST,CREST,CRST
CROSSING,CROSSING,XING
CROSSING,CRSSNG,XING
CROSSING,XING,XING
CROSSROAD,CROSSROAD,XRD
CROSSROADS,CROSSROADS,XRDS
CURVE,CURVE,CURV
DALE,DALE,DL
DALE,DL,DL
DAM,DAM,DM
DAM,DM,DM
DIVIDE,DIV,DV
DIVIDE,DIVIDE,DV
DIVIDE,DV,DV
DIVIDE,DVD,DV
DRIVE,DR,DR
DRIVE,DRIV,DR
DRIVE,DRIVE,DR
DRIVE,DRV,DR
DRIVES,DRIVES,DRS
ESTATE,EST,EST
ESTATE,ESTATE,EST
ESTATES,ESTATES,ESTS
ESTATES,ESTS,ESTS
EXPRESSWAY,EXP,EXPY
EXPRESSWAY,EXPR,EXPY
EXPRESSWAY,EXPRESS,EXPY
EXPRESSWAY,EXPRESSWAY,EXPY
EXPRESSWAY,EXPW,EXPY
EXPRESSWAY,EXPY,EXPY
EXTENSION,EXT,EXT
EXTENSION,EXTENSION,EXT
EXTENSION,EXTN,EXT
EXTENSION,EXTNSN,EXT
EXTENSIONS,EXTS,EXTS
FALL,FALL,FALL
FALLS,FALLS,FLS
FALLS,FLS,FLS
FERRY,FERRY,FRY
FERRY,FRRY,FRY
FERRY,FRY,FRY
FIELD,FIELD,FLD
FIELD,FLD,FLD
FIELDS,FIELDS,FLDS
FIELDS,FLDS,FLDS
FLAT,FLAT,FLT
FLAT,FLT,FLT
FLATS,FLATS,FLTS
FLATS,FLTS,FLTS
FORD,FORD,FRD
FORD,FRD,FRD
FORDS,FORDS,FRDS
FOREST,FOREST,FRST
FOREST,FORESTS,FRST
FOREST,FRST,FRST
FORGE,FORG,FRG
FORGE,FORGE,FRG
FORGE,FRG,FRG
FORGES,FORGES,FRGS
FORK,FORK,FRK
FORK,FRK,FRK
FORKS,FORKS,FRKS
FORKS,FRKS,FRKS
FORT,FORT,FT
FORT,FRT,FT
FORT,FT,FT
FREEWAY,FREEWAY,FWY
FREEWAY,FREEWY,FWY
FREEWAY,FRWAY,FWY
FREEWAY,FRWY,FWY
FREEWAY,FWY,FWY
GARDEN,GARDEN,GDN
GARDEN,GARDN,GDN
GARDEN,GRDEN,GDN
GARDEN,GRDN,GDN
GARDENS,GARDENS,GDNS
GARDENS,GDNS,GDNS
GARDENS,GRDNS,GDNS
GATEWAY,GATEWAY,GTWY
GATEWAY,GATEWY,GTWY
GATEWAY,GATWAY,GTWY
GATEWAY,GTWAY,GTWY
GATEWAY,GTWY,GTWY
GLEN,GLEN,GLN
GLEN,GLN,GLN
GLENS,GLENS,GLNS
GREEN,GREEN,GRN
GREEN,GRN,GRN
GREENS,GREENS,GRNS
GROVE,GROV,GRV
GROVE,GROVE,GRV
GROVE,GRV,GRV
GROVES,GROVES,GRVS
HARBOR,HARB,HBR
HARBOR,HARBOR,HBR
HARBOR,HARBR,HBR
HARBOR,HBR,HBR
HARBOR,HRBOR,HBR
HARBORS,HARBORS,HBRS
HAVEN,HAVEN,HVN
HAVEN,HVN,HVN
HEIGHTS,HT,HTS
HEIGHTS,HTS,HTS
HIGHWAY,HIGHWAY,HWY
HIGHWAY,HIGHWY,HWY
HIGHWAY,HIWAY,HWY
HIGHWAY,HIWY,HWY
HIGHWAY,HWAY,HWY
HIGHWAY,HWY,HWY
