Code 2004 and prior,Method 2004 and prior,Code 2005 and after,Method 2005 and after,Type of waste management,"If it is treatment, what kind of?",Objective,Output carrier,Output by products,Note,Support
A01,Flare,A01,Flare,Treatment,Incineration,Destruction,,S/L/A,Residual (bottom) ash and fly ash (from incombustible materials)/Liquid that was in waste stream (knock-out drum)/traces of organic and inorganic compounds may be in the exhaust gases,Tb/Tf/Metal_indicator
A02,Condenser,A02,Condenser,Treatment,Physical,Removal,L,,*The gaseous waste may have water,
A03,Scrubber,A03,Scrubber,Treatment,Physical,Removal,L/W,,The absorbent could be water or other liquid,Kow
A04,Absorber,A04,Absorber,Treatment,Physical,Removal,L/W,,The absorbent could be water or other liquid,Kow
A05,Electrostatic Precipitator,A05,Electrostatic Precipitator,Treatment,Physical,Removal,S,,,
A06,Mechanical Separation,A06,Mechanical Separation,Treatment,Physical,Removal,S,,,
A07,Other Air Emission Treatment,A07,Other Air Emission Treatment,Treatment,Physical,Removal,Unknown,,,
B11,Aerobic,H081,Biological treatment with or without precipitation,Treatment,Biological,Degradation,,,,
B21,Anaerobic,H081,Biological treatment with or without precipitation,Treatment,Biological,Degradation,,,,
B31,Facultative,H081,Biological treatment with or without precipitation,Treatment,Biological,Degradation,,,,
B99,Other Biological Treatment,H081,Biological treatment with or without precipitation,Treatment,Biological,Degradation,,,,
C01,Chemical Precipitation - Lime or Sodium Hydroxide,H071,Chemical reduction with or without precipitation,Treatment,Chemical,Conversion,,,,
C02,Chemical Precipitation - Sulfide,H071,Chemical reduction with or without precipitation,Treatment,Chemical,Conversion,,,,
C09,Chemical Precipitation - Other,H077,Other chemical precipitation with or without pretreatment,Treatment,Chemical,Conversion,,,,
C11,Neutralization,H121,Neutralization,Treatment,Chemical,Conversion,,,,
C21,Chromium Reduction,H071,Chemical reduction with or without precipitation,Treatment,Chemical,Conversion,,,,
C31,Complexed Metals Treatment (other than pH adjustment),H129,Other treatment,Treatment,Chemical,Conversion,,,,
C41,Cyanide Oxidation - Alkaline Chlorination,H073,Cyanide destruction with or without precipitation,Treatment,Chemical,Conversion,,,,
C42,Cyanide Oxidation - Electrochemical,H073,Cyanide destruction with or without precipitation,Treatment,Chemical,Conversion,,,,
C43,Cyanide Oxidation - Other,H073,Cyanide destruction with or without precipitation,Treatment,Chemical,Conversion,,,,
C44,General Oxidation (including Disinfection) - Chlorination,H075,Chemical oxidation,Treatment,Chemical,Conversion,,,,
C45,General Oxidation (including Disinfection) - Ozonation,H075,Chemical oxidation,Treatment,Chemical,Conversion,,,,
C46,General Oxidation (including Disinfection) - Other,H075,Chemical oxidation,Treatment,Chemical,Conversion,,,,
C99,Other Chemical Treatment,H129,Other treatment,Treatment,Chemical,Conversion,,,,
F01,Liquid Injection,H040,Incineration - thermal destruction other than use as a fuel,Treatment,Incineration,Destruction,,S/A,"*Even though the waste is not gaseous, traces of organic and inorganic compounds may be in the exhaust gases/Residual (bottom) ash and fly ash (from incombustible materials)",Tb/Tf/Metal_indicator
F11,Rotary Kiln with Liquid Injection Unit,H040,Incineration - thermal destruction other than use as a fuel,Treatment,Incineration,Destruction,,S/A,"*Even though the waste is not gaseous, traces of organic and inorganic compounds may be in the exhaust gases/Residual (bottom) ash and fly ash (from incombustible materials)",Tb/Tf/Metal_indicator
F19,Other Rotary Kiln,H040,Incineration - thermal destruction other than use as a fuel,Treatment,Incineration,Destruction,,S/A,"*Even though the waste is not gaseous, traces of organic and inorganic compounds may be in the exhaust gases/Residual (bottom) ash and fly ash (from incombustible materials)",Tb/Tf/Metal_indicator
F31,Two Stage,H040,Incineration - thermal destruction other than use as a fuel,Treatment,Incineration,Destruction,,S/A,"*Even though the waste is not gaseous, traces of organic and inorganic compounds may be in the exhaust gases/Residual (bottom) ash and fly ash (from incombustible materials)",Tb/Tf/Metal_indicator
F41,Fixed Hearth,H040,Incineration - thermal destruction other than use as a fuel,Treatment,Incineration,Destruction,,S/A,"*Even though the waste is not gaseous, traces of organic and inorganic compounds may be in the exhaust gases/Residual (bottom) ash and fly ash (from incombustible materials)",Tb/Tf/Metal_indicator
F42,Multiple Hearth,H040,Incineration - thermal destruction other than use as a fuel,Treatment,Incineration,Destruction,,S/A,"*Even though the waste is not gaseous, traces of organic and inorganic compounds may be in the exhaust gases/Residual (bottom) ash and fly ash (from incombustible materials)",Tb/Tf/Metal_indicator
F51,Fluidized Bed,H040,Incineration - thermal destruction other than use as a fuel,Treatment,Incineration,Destruction,,S/A,"*Even though the waste is not gaseous, traces of organic and inorganic compounds may be in the exhaust gases/Residual (bottom) ash and fly ash (from incombustible materials)",Tb/Tf/Metal_indicator
F61,Infra-Red,H040,Incineration - thermal destruction other than use as a fuel,Treatment,Incineration,Destruction,,S/A,"*Even though the waste is not gaseous, traces of organic and inorganic compounds may be in the exhaust gases/Residual (bottom) ash and fly ash (from incombustible materials)",Tb/Tf/Metal_indicator
