Internal Tracking Number,Substance Name,CAS,Active Status,ID
649681,"Warfarin, & salts, when present at concentrations greater than 0.3%",81-81-2,,P001
649681,"2H-1-Benzopyran-2-one, 4-hydroxy-3-(3-oxo-1-phenylbutyl)-, &salts, when present at concentrations greater than 0.3%",81-81-2,,P001
3699,"Fluoroacetic acid, sodium salt",62-74-8,Active,P058
3699,"Acetic acid, fluoro-, sodium salt",62-74-8,Active,P058
24240,Chloroacetaldehyde,107-20-0,Active,P023
24240,"Acetaldehyde, chloro-",107-20-0,Active,P023
66217,Fluoroacetamide,640-19-7,Active,P057
66217,"Acetamide, 2-fluoro-",640-19-7,Active,P057
56770,1-Acetyl-2-thiourea,591-08-2,Active,P002
56770,"Acetamide, -(aminothioxomethyl)-",591-08-2,Active,P002
218818,"Aluminum phosphide (R,T)",20859-73-8,Active,P006
49023,Potassium silver cyanide,506-61-6,Active,P099
49023,"Argentate(1-), bis(cyano-C)-, potassium",506-61-6,Active,P099
153866,Arsenic acid H3AsO4,7778-39-4,Active,P010
84749,Arsenic trioxide,1327-53-3,Active,P012
84749,Arsenic oxide As2O3,1327-53-3,Active,P012
82057,Arsenic oxide As2O5,1303-28-2,Active,P011
82057,Arsenic pentoxide,1303-28-2,Active,P011
67728,Diethylarsine,692-42-2,Active,P038
67728,"Arsine, diethyl-",692-42-2,Active,P038
68072,Dichlorophenylarsine,696-28-6,Active,P036
68072,"Arsonous dichloride, phenyl-",696-28-6,Active,P036
40279,Ethyleneimine,151-56-4,Active,P054
40279,Aziridine,151-56-4,Active,P054
5652,"1,2-Propylenimine",75-55-8,Active,P067
5652,"Aziridine, 2-methyl-",75-55-8,Active,P067
52423,Barium cyanide,542-62-1,Active,P013
23630,"Benzenamine, 4-chloro-",106-47-8,Active,P024
23630,p-Chloroaniline,106-47-8,Active,P024
19109,"Benzenamine, 4-nitro-",100-01-6,Active,P077
19109,p-Nitroaniline,100-01-6,Active,P077
19430,Benzyl chloride,100-44-7,Active,P028
19430,"Benzene, (chloromethyl)-",100-44-7,Active,P028
1339,"1,2-Benzenediol, 4-[1-hydroxy-2-(methylamino)ethyl]-, (R)-",51-43-4,Active,P042
1339,Epinephrine,51-43-4,Active,P042
32128,"alpha,alpha-Dimethylphenethylamine",122-09-8,Active,P046
32128,"Benzeneethanamine, alpha,alpha-dimethyl-",122-09-8,Active,P046
25536,Thiophenol,108-98-5,Active,P014
25536,Benzenethiol,108-98-5,Active,P014
88666,Carbofuran,1563-66-2,Active,P127
88666,"7-Benzofuranol, 2,3-dihydro-2,2-dimethyl-, methylcarbamate",1563-66-2,Active,P127
2634,Physostigmine salicylate,57-64-7,Active,P188
2634,"Benzoic acid, 2-hydroxy-, compd. with (3aS-cis)-1,2,3,3a,8,8a-hexahydro-1,3a,8-trimethylpyrrolo[2,3-b]indol-5-yl methylcarbamate ester (1:1)",57-64-7,Active,P188
150003,Beryllium powder,7440-41-7,Active,P015
278457,Thiofanox,39196-18-4,Active,P045
278457,"2-Butanone, 3,3-dimethyl-1-(methylthio)-, O-[(methylamino)carbonyl] oxime",39196-18-4,Active,P045
57059,Calcium cyanide Ca(CN)2,592-01-8,Active,P021
57059,Calcium cyanide,592-01-8,Active,P021
79467,Metolcarb,1129-41-5,Active,P190
79467,"Carbamic acid, methyl-, 3-methylphenyl ester",1129-41-5,Active,P190
303842,"Carbamic acid, [(dibutylamino)-thio]methyl-, 2,3-dihydro-2,2-dimethyl-7-benzofuranyl ester",55285-14-8,Active,P189
303842,Carbosulfan,55285-14-8,Active,P189
66407,Dimetilan,644-64-4,Active,P191
66407,"Carbamic acid, dimethyl-, 1-[(dimethyl-amino)carbonyl]-5-methyl-1H-pyrazol-3-yl ester",644-64-4,Active,P191
30643,Isolan,119-38-0,Active,P192
30643,"Carbamic acid, dimethyl-, 3-methyl-1-(1-methylethyl)-1H-pyrazol-5-yl ester",119-38-0,Active,P192
5348,Carbon disulfide,75-15-0,Active,P022
5587,Phosgene,75-44-5,Active,P095
5587,Carbonic dichloride,75-44-5,Active,P095
52886,Copper cyanide Cu(CN),544-92-3,Active,P029
52886,Copper cyanide,544-92-3,Active,P029
649848,"Cyanides (soluble cyanide salts), not otherwise specified",,Active,P030
49072,Cyanogen chloride (CN)Cl,506-77-4,Active,P033
49072,Cyanogen chloride,506-77-4,Active,P033
4887,Endrin,72-20-8,Active,P051
741728,"2,7:3,6-Dimethanonaphth [2,3-b]oxirene, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, (1aalpha,2beta,2abeta,3alpha,6alpha,6abeta,7beta, 7aalpha)-, & metabolites",172-20-8,Active,P051
741728,"Endrin, & metabolites",72-20-8,Active,P051
3426,Dieldrin,60-57-1,Active,P037
3426,"2,7:3,6-Dimethanonaphth[2,3-b]oxirene, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, (1aalpha,2beta,2aalpha,3beta,6beta,6aalpha,7beta, 7aalpha)-",60-57-1,Active,P037
42002,Aldrin,309-00-2,Active,P004
42002,"1,4,5,8-Dimethanonaphthalene, 1,2,3,4,10,10-hexa-chloro-1,4,4a,5,8,8a,-hexahydro-, (1alpha,4alpha,4abeta,5alpha,8alpha,8abeta)-",309-00-2,Active,P004
46615,Isodrin,465-73-6,Active,P060
46615,"1,4,5,8-Dimethanonaphthalene, 1,2,3,4,10,10-hexa-chloro-1,4,4a,5,8,8a-hexahydro-, (1alpha,4alpha,4abeta,5beta,8beta,8abeta)-",465-73-6,Active,P060
40287,"Diphosphoramide, octamethyl-",152-16-9,Active,P085
40287,Octamethylpyrophosphoramide,152-16-9,Active,P085
24422,Tetraethyl pyrophosphate,107-49-3,Active,P111
24422,"Diphosphoric acid, tetraethyl ester",107-49-3,Active,P111
239285,Tirpate,26419-73-8,Active,P185
239285,"1,3-Dithiolane-2-carboxaldehyde, 2,4-dimethyl-, O-[(methylamino)-carbonyl]oxime.",26419-73-8,Active,P185
46284,Cyanogen,460-19-5,Active,P031
46284,Ethanedinitrile,460-19-5,Active,P031
223180,"Ethanimidothioc acid, 2-(dimethylamino)-N-[[(methylamino)carbonyl]oxy]-2-oxo-, methyl ester",23135-22-0,Active,P194
223180,Oxamyl,23135-22-0,Active,P194
205609,Methomyl,16752-77-5,Active,P066
205609,"Ethanimidothioic acid, N-[[(methylamino)carbonyl]oxy]-, methyl ester",16752-77-5,Active,P066
125922,"Vinylamine, N-methyl-N-nitroso-",4549-40-0,Active,P084
125922,N-Nitrosomethylvinylamine,4549-40-0,Active,P084
154286,Fluorine,7782-41-4,Active,P056
3376,"Hydrazine, methyl-",60-34-4,Active,P068
3376,Methyl hydrazine,60-34-4,Active,P068
7666,Thiosemicarbazide,79-19-6,Active,P116
7666,Hydrazinecarbothioamide,79-19-6,Active,P116
5140,Hydrocyanic acid,74-90-8,Active,P063
5140,Hydrogen cyanide,74-90-8,Active,P063
107078,"3(2H)-Isoxazolone, 5-(aminomethyl)-",2763-96-4,Active,P007
107078,5-(Aminomethyl)-3-isoxazolol,2763-96-4,Active,P007
199356,"Manganese, bis(dimethylcarbamodithioato-S,S')-,",15339-36-3,Active,P196
199356,Manganese dimethyldithiocarbamate,15339-36-3,Active,P196
3582,Phenylmercury acetate,62-38-4,Active,P092
3582,"Mercury, (acetato-O)phenyl-",62-38-4,Active,P092
64485,Mercury fulminate,628-86-4,Active,P065
64485,"Fulminic acid, mercury(2+) salt",628-86-4,Active,P065
3707,N-Nitrosodimethylamine,62-75-9,Active,P082
3707,"Methanamine, N-methyl-N-nitroso-",62-75-9,Active,P082
52498,Dichloromethyl ether,542-88-1,Active,P016
52498,"Methane, oxybis[chloro-",542-88-1,Active,P016
63321,"Methane, isocyanato-",624-83-9,Active,P064
63321,Methyl isocyanate,624-83-9,Active,P064
49288,Tetranitromethane,509-14-8,Active,P112
49288,"Methane, tetranitro-",509-14-8,Active,P112
5793,Trichloromethanethiol,75-70-7 ,Active,P118
5793,"Methanethiol, trichloro-",75-70-7 ,Active,P118
209288,"Methanimidamide, N,N-dimethyl-N'-[2-methyl-4-[[(methylamino)carbonyl]oxy]phenyl]-",17702-57-7,Active,P197
209288,Formparanate,17702-57-7,Active,P197
223883,"Methanimidamide, N,N-dimethyl-N'-[3-[[(methylamino)-carbonyl]oxy]phenyl]-, monohydrochloride",23422-53-9,Active,P198
223883,Formetanate hydrochloride,23422-53-9,Active,P198
6262,Heptachlor,76-44-8,Active,P059
6262,"4,7-Methano-1H-indene, 1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tetrahydro-",76-44-8,Active,P059
29132,"6,9-Methano-2,4,3-benzodioxathiepin, 6,7,8,9,10,10-hexachloro-1,5,5a,6,9,9a-hexahydro-, 3-oxide",115-29-7,Active,P050
29132,Endosulfan,115-29-7,Active,P050
186866,"Nickel carbonyl Ni(CO)4, (T-4)-",13463-39-3,Active,P073
186866,Nickel carbonyl,13463-39-3,Active,P073
54197,Nickel cyanide,557-19-7,Active,P074
54197,Nickel cyanide Ni(CN)2,557-19-7,Active,P074
167916,Nitrogen oxide NO,10102-43-9,Active,P076
167916,Nitric oxide,10102-43-9,Active,P076
167924,Nitrogen oxide NO2,10102-44-0,Active,P078
167924,Nitrogen dioxide,10102-44-0,Active,P078
218685,Osmium tetroxide,20816-12-0,Active,P087
218685,"Osmium oxide OsO4, (T-4)-",20816-12-0,Active,P087
39560,Endothall,145-73-3,Active,P088
