Internal Tracking Number,Substance Name,CAS,Active Status,ID
14498,Benzidine,92-87-5,Active,U021
14498,"[1,1'-Biphenyl]-4,4'-diamine",92-87-5,Active,U021
13755,"[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dichloro-",91-94-1,Active,U073
13755,"3,3'-Dichlorobenzidine",91-94-1,Active,U073
30924,"3,3'-Dimethoxybenzidine",119-90-4,Active,U091
30924,"[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethoxy-",119-90-4,Active,U091
30940,"3,3'-Dimethylbenzidine",119-93-7,Active,U095
30940,"[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethyl-",119-93-7,Active,U095
73700,N-Nitrosodi-n-butylamine,924-16-3,Active,U172
73700,"1-Butanamine, N-butyl-N-nitroso-",924-16-3,Active,U172
4739,n-Butyl alcohol,71-36-3,Active,U031
4739,1-Butanol,71-36-3,Active,U031
36087,.alpha.-Naphthylamine,134-32-7,Active,U167
36087,1-Naphthalenamine,134-32-7,Active,U167
3723,Carbaryl,63-25-2,Active,U279
3723,"1-Naphthalenol, methylcarbamate",63-25-2,Active,U279
24158,1-Propanamine,107-10-8,Active,U194
24158,n-Propylamine,107-10-8,Active,U194
62257,"1-Propanamine, N-nitroso-N-propyl-",621-64-7,Active,U111
62257,Di-n-propylnitrosamine,621-64-7,Active,U111
39008,Dipropylamine,142-84-7,Active,U110
39008,"1-Propanamine, N-propyl-",142-84-7,Active,U110
7351,Isobutyl alcohol,78-83-1,Active,U140
7351,"1-Propanol, 2-methyl-",78-83-1,Active,U140
33969,"Tris(2,3-dibromopropyl) phosphate",126-72-7,Active,U235
33969,"1-Propanol, 2,3-dibromo-, phosphate (3:1)",126-72-7,Active,U235
93849,Hexachloropropene,1888-71-7,Active,U243
93849,"1-Propene, 1,1,2,3,3,3-hexachloro-",1888-71-7,Active,U243
52449,"1,3-Dichloropropene",542-75-6,Active,U084
52449,"1-Propene, 1,3-dichloro-",542-75-6,Active,U084
29934,Diethylhexyl phthalate,117-81-7,Active,U028
29934,"1,2-Benzenedicarboxylic acid, bis(2-ethylhexyl) ester",117-81-7,Active,U028
10025,Dibutyl phthalate,84-74-2,Active,U069
10025,"1,2-Benzenedicarboxylic acid, dibutyl ester",84-74-2,Active,U069
9985,"1,2-Benzenedicarboxylic acid, diethyl ester",84-66-2,Active,U088
9985,Diethyl phthalate,84-66-2,Active,U088
35295,"1,2-Benzenedicarboxylic acid, dimethyl ester",131-11-3,Active,U102
35295,Dimethyl phthalate,131-11-3,Active,U102
29967,"1,2-Benzenedicarboxylic acid, dioctyl ester",117-84-0,Active,U107
29967,Di-n-octyl phthalate,117-84-0,Active,U107
649863,"1,2-Benzisothiazol-3(2H)-one, 1,1-dioxide, &salts",,Inactive,U202 
649863,"Saccharin, &salts",,Inactive,U202 
13698,"1,2-Ethanediamine, N,N-dimethyl-N'-2-pyridinyl-N'-(2-thienylmethyl)-",91-80-5,Active,U155
13698,Methapyrilene,91-80-5,Active,U155
79012,"1,2-Oxathiolane, 2,2-dioxide",1120-71-4,Active,U193
79012,"1,3-Propane sultone",1120-71-4,Active,U193
25130,Resorcinol,108-46-3,Active,U201
25130,"1,3-Benzenediol",108-46-3,Active,U201
222851,Bendiocarb phenol,22961-82-6,Active,U364
222851,"1,3-Benzodioxol-4-ol, 2,2-dimethyl-",22961-82-6,Active,U364
222505,"1,3-Benzodioxol-4-ol, 2,2-dimethyl-, methyl carbamate",22781-23-3,Active,U278
222505,Bendiocarb,22781-23-3,Active,U278
31302,Isosafrole,120-58-1,Active,U141
31302,"1,3-Benzodioxole, 5-(1-propenyl)-",120-58-1,Active,U141
15537,Safrole,94-59-7,Active,U203
15537,"1,3-Benzodioxole, 5-(2-propenyl)-",94-59-7,Active,U203
15529,Dihydrosafrole,94-58-6,Active,U090
15529,"1,3-Benzodioxole, 5-propyl-",94-58-6,Active,U090
11346,"1,3-Butadiene, 1,1,2,3,4,4-hexachloro-",87-68-3,Active,U128
11346,Hexachlorobutadiene,87-68-3,Active,U128
6494,Hexachlorocyclopentadiene,77-47-4,Active,U130
6494,"1,3-Cyclopentadiene, 1,2,3,4,5,5-hexachloro-",77-47-4,Active,U130
10355,Phthalic anhydride,85-44-9,Active,U190
10355,"1,3-Isobenzofurandione",85-44-9,Active,U190
48736,1-Methylbutadiene,504-60-9,Active,U186
48736,"1,3-Pentadiene",504-60-9,Active,U186
39313,"1,3,4-Metheno-2H-cyclobuta[cd]pentalen-2-one, 1,1a,3,3a,4,5,5,5a,5b,6-decachlorooctahydro-",143-50-0,Active,U142
39313,Kepone,143-50-0,Active,U142
33076,Paraldehyde,123-63-7,Active,U182
33076,"1,3,5-Trioxane, 2,4,6-trimethyl-",123-63-7,Active,U182
33241,"1,4-Diethyleneoxide",123-91-1,Active,U108
33241,"1,4-Dioxane",123-91-1,Active,U108
35139,"1,4-Naphthoquinone",130-15-4,Active,U166
35139,"1,4-Naphthalenedione",130-15-4,Active,U166
3533,Amitrole,61-82-5,Active,U011
3533,"1H-1,2,4-Triazol-3-amine",61-82-5,Active,U011
7443,MEK,78-93-3,Active,U159
7443,2-Butanone,78-93-3,Active,U159
7443,Methyl ethyl ketone,78-93-3,Active,U159
85969,Methyl ethyl ketone peroxide,1338-23-4,Active,U160
