Internal Tracking Number,Substance Name,CAS,Active Status,ID
764019,Adenoviruses,,,
967901,Aeromonas,,,
266114,Acetochlor,34256-82-1,Active,34256-82-1
98590,Molinate,2212-67-1,Active,2212-67-1
4945,Dichloro dichlorophenyl ethylene,72-55-9,Active,72-55-9
4945,"4,4'-DDE",72-55-9,Active,72-55-9
31575,"2,4-DNT",121-14-2,Active,121-14-2
31575,"2,4-Dinitrotoluene",121-14-2,Active,121-14-2
58875,"2,6-Dinitrotoluene",606-20-2,Active,606-20-2
58875,"2,6-DNT",606-20-2,Active,606-20-2
18408,Nitrobenzene (low level),98-95-3,Active,98-95-3
18408,Nitrobenzene,98-95-3,Active,98-95-3
775841,DCPA di-acid degradate,2136-79-0,Active,2136-79-0
775759,DCPA mono-acid degradate,887-54-7,Active,887-54-7
764001,Caliciviruses,,,
69252,S-Ethyl dipropylthiocarbamate,759-94-4,Active,759-94-4
69252,EPTC,759-94-4,Active,759-94-4
763995,Coxsackieviruses,,,
763979,Cyanobacteria,,,
964502,Alachlor ethanesulfonic acid,142363-53-9,,142363-53-9
964502,Alachlor ESA,142363-53-9,,142363-53-9
763961,Helicobacter pylori,,,
32425,"1,2-Diphenylhydrazine",122-66-7,,122-66-7
194316,Pb-210,14255-04-0,,14255-04-0
194316,210Pb,14255-04-0,,14255-04-0
194316,Lead-210,14255-04-0,,14255-04-0
764027,Microsporidia,,,
962480,Perchlorate,14797-73-0,Active,14797-73-0
11536,"2,4,6-Trichlorophenol",88-06-2,,88-06-2
31443,"2,4-Dichlorophenol",120-83-2,,120-83-2
1313,"2,4-Dinitrophenol",51-28-5,,51-28-5
16147,2-Methyl-phenol,95-48-7,,95-48-7
74971,Fonofos,944-22-9,,944-22-9
41210,Disulfoton,298-04-4,,298-04-4
183806,Terbufos,13071-79-9,,13071-79-9
42705,Diazinon,333-41-5,,333-41-5
192815,Polonium-210,13981-52-7,,13981-52-7
192815,Po-210,13981-52-7,,13981-52-7
192815,210Po,13981-52-7,,13981-52-7
89870,MTBE,1634-04-4,Active,1634-04-4
89870,Methyl tertiary-butyl ether,1634-04-4,Active,1634-04-4
136010,Terbacil,5902-51-2,Active,5902-51-2
31948,Royal demolition explosive,121-82-4,,121-82-4
31948,"Hexahydro-1,3,5-trinitro-1,3,5-triazine",121-82-4,,121-82-4
31948,RDX,121-82-4,,121-82-4
89474,Prometon,1610-18-0,,1610-18-0
42606,Dinuron,330-54-1,,330-54-1
42614,Linuron,330-55-2,,330-55-2
