Internal Tracking Number,Substance Name,CAS,Active Status,ID
701235,Chloramines,,,
761684,Cryptosporidium,,,
761684,Cryptosporidium oocysts,,,
761726,Giardia lamblia,,,
761726,Giardia lamblia cysts,,,
701185,Haloacetic acids (five),,,
701185,HAA5,,,
761734,Heterotrophic bacteria,,,
761742,Legionella,,,
701037,Radium-226 and Radium-228 combined,,,
761700,Total coliforms,,,
701045,Trihalomethanes (four),,,
701045,Total Trihalomethanes,,,
701045,THM4,,,
701045,TTHMs,,,
1640507,Turbidity,,,
761759,Viruses,,,
701169,Beta particle and photon radioactivity from man-made radionuclides,,,
19406,Ethylbenzene,100-41-4,,100-41-4
19414,Styrene,100-42-5,,100-42-5
167296,Chlorine dioxide,10049-04-4,,10049-04-4
76661,Heptachlor epoxide,1024-57-3,,1024-57-3
21238,Di (2-ethylhexyl)adipate,103-23-1,,103-23-1
21238,Di(2-ethylhexyl) adipate,103-23-1,,103-23-1
23622,para-Dichlorobenzene,106-46-7,,106-46-7
23622,"1,4-Dichlorobenzene",106-46-7,,106-46-7
23945,Epichlorohydrin,106-89-8,,106-89-8
23986,Ethylene dibromide,106-93-4,,106-93-4
23986,EDB,106-93-4,,106-93-4
24117,"1,2-Dichloroethane",107-06-2,,107-06-2
77438,Glyphosate,1071-83-6,,1071-83-6
77438,Gylphosate,1071-83-6,,1071-83-6
25452,Toluene,108-88-3,,108-88-3
25478,Monochlorobenzene,108-90-7,,108-90-7
25478,Chlorobenzene,108-90-7,,108-90-7
29934,Di(2-ethylhexyl) phthalate,117-81-7,,117-81-7
29934,Di (2-ethylhexyl)phthalate,117-81-7,,117-81-7
30346,Hexachlorobenzene,118-74-1,,118-74-1
31435,"1,2,4-Trichloro- benzene",120-82-1,,120-82-1
31435,"1,2,4-Trichlorobenzene",120-82-1,,120-82-1
32219,Simazine,122-34-9,,122-34-9
33597,Dibromochloromethane,124-48-1,,124-48-1
182451,Alpha particle,12587-46-1,,12587-46-1
34157,Tetrachloroethylene,127-18-4,,127-18-4
84970,Xylenes,1330-20-7,,1330-20-7
85282,Asbestos,1332-21-4,,1332-21-4
85878,Polychlorinated biphenyls (PCBs),1336-36-3,,1336-36-3
39560,Endothall,145-73-3,,145-73-3
197186,Nitrate,14797-55-8,,14797-55-8
197194,Nitrite,14797-65-0,,14797-65-0
198119,Chlorite,14998-27-7,,14998-27-7
650705,Bromate,15541-45-4,,15541-45-4
40451,"cis-1,2-Dichloroethylene",156-59-2,,156-59-2
40451,cis-Dichloroethylene,156-59-2,,156-59-2
40469,trans-Dichloroethylene,156-60-5,,156-60-5
40469,"trans-1,2-Dichloroethylene",156-60-5,,156-60-5
88666,Carbofuran,1563-66-2,,1563-66-2
202549,Alachlor,15972-60-8,,15972-60-8
206706,Fluoride,16984-48-8,,16984-48-8
91918,Dioxin,1746-01-6,,1746-01-6
91918,"2,3,7,8-TCDD",1746-01-6,,1746-01-6
94128,Atrazine,1912-24-9,,1912-24-9
94227,Picloram,1918-02-1,,1918-02-1
223180,Vydate,23135-22-0,,23135-22-0
223180,Oxamyl,23135-22-0,,23135-22-0
107094,Diquat,2764-72-9,,2764-72-9
1115,Benzo[a]pyrene,50-32-8,,50-32-8
2071,Carbon tetrachloride,56-23-5,,56-23-5
2444,Cyanide (as free cyanide),57-12-5,,57-12-5
2683,Chlordane,57-74-9,,57-74-9
2923,Lindane,58-89-9,,58-89-9
65201,Dibromoacetic acid ,631-64-1,,631-64-1
4317,Chloroform,67-66-3,,67-66-3
4754,Benzene,71-43-2,,71-43-2
4796,"1,1,1-Trichloroethane",71-55-6,,71-55-6
4887,Endrin,72-20-8,,72-20-8
4903,Methoxychlor,72-43-5,,72-43-5
149583,Lead,7439-92-1,,7439-92-1
149633,Mercury,7439-97-6,,7439-97-6
149898,Thallium,7440-28-0,,7440-28-0
149963,Antimony,7440-36-0,,7440-36-0
149989,Arsenic,7440-38-2,,7440-38-2
149997,Barium,7440-39-3,,7440-39-3
150003,Beryllium,7440-41-7,,7440-41-7
150029,Cadmium,7440-43-9,,7440-43-9
150060,Chromium,7440-47-3,,7440-47-3
150086,Copper,7440-50-8,,7440-50-8
150185,Uranium,7440-61-1,,7440-61-1
5231,Vinyl chloride,75-01-4,,75-01-4
5306,Dichloromethane,75-09-2,,75-09-2
5306,Methylene chloride,75-09-2,,75-09-2
5447,Bromoform,75-25-2,,75-25-2
5462,Bromodichloromethane ,75-27-4,,75-27-4
5538,"1,1-Dichloroethylene",75-35-4,,75-35-4
6049,Dalapon,75-99-0,,75-99-0
6072,Trichloroacetic acid ,76-03-9,,76-03-9
6262,Heptachlor,76-44-8,,76-44-8
6494,Hexachloro- cyclopentadiene,77-47-4,,77-47-4
6494,Hexachlorocyclopentadiene,77-47-4,,77-47-4
154310,Selenium,7782-49-2,,7782-49-2
154328,"Chlorine, total",7782-50-5,,7782-50-5
154328,"Chlorine, free",7782-50-5,,7782-50-5
7393,"1,2-Dichloropropane",78-87-5,,78-87-5
