TRI Waste Management,RCRA Waste Management,General,Type of waste management
Incineration/insignificant fuel value,Incineration; thermal destruction other than use as a fuel,Incinerators,Treatment
Incineration/thermal treatment,Incineration; thermal destruction other than use as a fuel,Incinerators,Treatment
Other waste treatment,Other treatment that does not include on-site disposal,Other treatment,Treatment
Solidification/stabilization - treatment - non-metals,Macro-encapsulation prior to disposal at another site,Other treatment,Treatment
Solidification/stabilization - treatment - non-metals,Sludge treatment and/or dewatering,Other treatment,Treatment
Solidification/stabilization - treatment - non-metals,Stabilization or chemical fixation prior to disposal at another site,Other treatment,Treatment
Solidification/stabilization - treatment - non-metals,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),Other treatment,Treatment
Transfer to waste broker for waste treatment,Absorption,Industrial wastewater treatment,Treatment
Transfer to waste broker for waste treatment,Adsorption,Industrial wastewater treatment,Treatment
Transfer to waste broker for waste treatment,Air or steam stripping,Industrial wastewater treatment,Treatment
Transfer to waste broker for waste treatment,Biological treatment,Industrial wastewater treatment,Treatment
Transfer to waste broker for waste treatment,Chemical oxidation,Industrial wastewater treatment,Treatment
Transfer to waste broker for waste treatment,Chemical reduction with or without precipitation,Industrial wastewater treatment,Treatment
Transfer to waste broker for waste treatment,Chemical treatment (reduction / destruction / oxidation /precipitation),Industrial wastewater treatment,Treatment
Transfer to waste broker for waste treatment,"Combination of chemical, biological and/or physical treatment",Industrial wastewater treatment,Treatment
Transfer to waste broker for waste treatment,Cyanide destruction with or without precipitation,Industrial wastewater treatment,Treatment
Transfer to waste broker for waste treatment,Evaporation,Industrial wastewater treatment,Treatment
Transfer to waste broker for waste treatment,Incineration; thermal destruction other than use as a fuel,Incinerators,Treatment
Transfer to waste broker for waste treatment,Macro-encapsulation prior to disposal at another site,Other treatment,Treatment
Transfer to waste broker for waste treatment,Neutralization only,Industrial wastewater treatment,Treatment
Transfer to waste broker for waste treatment,Other chemical precipitation with or without pre-treatment,Industrial wastewater treatment,Treatment
Transfer to waste broker for waste treatment,Other treatment that does not include on-site disposal,Other treatment,Treatment
Transfer to waste broker for waste treatment,Phase separation,Industrial wastewater treatment,Treatment
Transfer to waste broker for waste treatment,Physical treatment only (adsorption / absorption / separation /stripping / dewatering),Industrial wastewater treatment,Treatment
Transfer to waste broker for waste treatment,Settling or clarification,Industrial wastewater treatment,Treatment
Transfer to waste broker for waste treatment,Sludge treatment and/or dewatering,Other treatment,Treatment
Transfer to waste broker for waste treatment,Stabilization or chemical fixation prior to disposal at another site,Other treatment,Treatment
Transfer to waste broker for waste treatment,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),Other treatment,Treatment
Transfer to waste broker for waste treatment,Wet air oxidation,Industrial wastewater treatment,Treatment
Wastewater treatment (excluding POTWS) - non-metals,Absorption,Industrial wastewater treatment,Treatment
Wastewater treatment (excluding POTWS) - non-metals,Adsorption,Industrial wastewater treatment,Treatment
Wastewater treatment (excluding POTWS) - non-metals,Air or steam stripping,Industrial wastewater treatment,Treatment
Wastewater treatment (excluding POTWS) - non-metals,Biological treatment,Industrial wastewater treatment,Treatment
Wastewater treatment (excluding POTWS) - non-metals,Chemical oxidation,Industrial wastewater treatment,Treatment
Wastewater treatment (excluding POTWS) - non-metals,Chemical reduction with or without precipitation,Industrial wastewater treatment,Treatment
Wastewater treatment (excluding POTWS) - non-metals,Chemical treatment (reduction / destruction / oxidation /precipitation),Industrial wastewater treatment,Treatment
Wastewater treatment (excluding POTWS) - non-metals,"Combination of chemical, biological and/or physical treatment",Industrial wastewater treatment,Treatment
Wastewater treatment (excluding POTWS) - non-metals,Cyanide destruction with or without precipitation,Industrial wastewater treatment,Treatment
Wastewater treatment (excluding POTWS) - non-metals,Evaporation,Industrial wastewater treatment,Treatment
Wastewater treatment (excluding POTWS) - non-metals,Neutralization only,Industrial wastewater treatment,Treatment
Wastewater treatment (excluding POTWS) - non-metals,Other chemical precipitation with or without pre-treatment,Industrial wastewater treatment,Treatment
Wastewater treatment (excluding POTWS) - non-metals,Phase separation,Industrial wastewater treatment,Treatment
Wastewater treatment (excluding POTWS) - non-metals,Physical treatment only (adsorption / absorption / separation /stripping / dewatering),Industrial wastewater treatment,Treatment
Wastewater treatment (excluding POTWS) - non-metals,Settling or clarification,Industrial wastewater treatment,Treatment
Wastewater treatment (excluding POTWS) - non-metals,Wet air oxidation,Industrial wastewater treatment,Treatment
Acid regeneration,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",Recycling,Recycling
Metals recovery,"Metals recovery including retorting, smelting, chemical, etc.",Recycling,Recycling
Other reuse or recovery,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",Recycling,Recycling
Solvents/organics recovery,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",Recycling,Recycling
Solvents/organics recovery,Solvents recovery,Recycling,Recycling
Transfer to waste broker for recycling,"Metals recovery including retorting, smelting, chemical, etc.",Recycling,Recycling
Transfer to waste broker for recycling,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",Recycling,Recycling
Transfer to waste broker for recycling,Solvents recovery,Recycling,Recycling
