PREFERRED NAME,CAS NUMBER,DSSTOX ID,Molecular Mass,LogP: Octanol-Water,LogP: Octanol-Water - Score,Melting Point,Melting Point - Units,Melting Point - Score,Boiling Point,Boiling Point - Units,Boiling Point - Score,Water Solubility,Water Solubility - Units,Water Solubility - Score,Vapor Pressure,Vapor Pressure - Units,Vapor Pressure - Score,Flash Point,Flash Point - Units,Flash Point - Score,Surface Tension,Surface Tension - Units,Surface Tension - Score,Index of Refraction,Index of Refraction - Score,Molar Refractivity,Molar Refractivity - Units,Molar Refractivity - Score,Polarizability,Polarizability - Units,Polarizability - Score,Density,Density - Units,Density - Score,Molar Volume,Molar Volume - Units,Molar Volume - Score,Thermal Conductivity,Thermal Conductivity - Units,Thermal Conductivity - Score,Viscosity,Viscosity - Units,Viscosity - Score,Henry's Law,Henry's Law - Score,LogKoa: Octanol-Air,LogKoa: Octanol-Air - Score,pKa Acidic Apparent,pKa Acidic Apparent - Score,pKa Basic Apparent,pKa Basic Apparent - Score,Bioaccumulation Factor,Bioaccumulation Factor - Score,Bioconcentration Factor,Bioconcentration Factor - Score,Soil Adsorp. Coeff. (Koc),Soil Adsorp. Coeff. (Koc) - Units,Soil Adsorp. Coeff. (Koc) - Score,Atmos. Hydroxylation Rate,Atmos. Hydroxylation Rate - Units,Atmos. Hydroxylation Rate - Score,Biodeg. Half-Life,Biodeg. Half-Life - Units,Biodeg. Half-Life - Score,Fish Biotrans. Half-Life (Km),Fish Biotrans. Half-Life (Km) - Units,Fish Biotrans. Half-Life (Km) - Score,Data Quality - CompTox,Data Source,Consulted Date
Acetamide,60355,DTXSID7020005,59.068,,,80,°C,1,222,°C,1,38.1,mol/L,2,0.04,mmHg,2,69.7,°C,3,29.9,dyn/cm,4,1.39,4,14.9,cm^3,4,5.9,Å^3,4,0.958,g/cm^3,3,62.3,cm^3,4,217,mW/(m*K),4,2.39,cP,4,9.18E-08,4,4.24,4,,,,,,,0.894,3,5.01,L/kg,2,1.09E-12,cm3/molecule*sec,4,4.59,days,4,0.131,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID7020005,07_04_2020
Aldrin,309002,DTXSID8020040,364.9,6.5,2,,,,340,°C,3,4.66E-08,mol/L,2,0.00012,mmHg,2,181,°C,3,55.3,dyn/cm,4,1.66,4,77.7,cm^3,4,30.8,Å^3,4,1.74,g/cm^3,3,211,cm^3,4,,,,,,,4.4E-05,2,8.08,2,,,,,,,,,49000,L/kg,2,8.02E-11,cm3/molecule*sec,4,363,days,4,23.4,days,2,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID8020040,07_04_2020
Aniline,62533,DTXSID8020090,93.129,,,-6,°C,1,184,°C,1,0.387,mol/L,2,0.49,mmHg,2,84.5,°C,3,40,dyn/cm,3,1.58,4,30.5,cm^3,4,12.1,Å^3,4,1.06,g/cm^3,3,91.7,cm^3,4,165,mW/(m*K),4,2.62,cP,4,2.02E-06,2,4.94,4,,,4.6,2,,,5,1,39.8,L/kg,2,1.11E-10,cm3/molecule*sec,2,5.57,days,4,0.166,days,2,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID8020090,07_04_2020
Sodium arsenate,7631892,DTXSID5020102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID5020102,07_04_2020
Arsenic oxide (As2O3),1327533,DTXSID0020103,197.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID0020103,07_04_2020
Sodium arsenite,7784465,DTXSID5020104,129.909,,,324,°C,4,739,°C,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID5020104,07_04_2020
Benzyl chloride,100447,DTXSID0020153,126.58,,,-43,°C,1,179,°C,1,0.00415,mol/L,2,1.23,mmHg,2,73.6,°C,3,34.3,dyn/cm,3,1.53,4,36,cm^3,4,14.3,Å^3,4,1.09,g/cm^3,3,117,cm^3,4,131,mW/(m*K),4,1.4,cP,4,0.00292,4,4.16,4,,,,,,,15.3,3,87.3,L/kg,3,2.9E-12,cm3/molecule*sec,2,4.9,days,4,0.133,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID0020153,07_04_2020
Bifenthrin,82657043,DTXSID9020160,422.87,,,69,°C,2,411,°C,3,2.36E-07,mol/L,2,1.8E-07,mmHg,2,173,°C,3,41.3,dyn/cm,4,1.56,4,109,cm^3,4,43.2,Å^3,4,1.26,g/cm^3,3,335,cm^3,4,,,,,,,4.88E-08,4,10.5,4,,,,,,,708,1,224000,L/kg,2,3.32E-11,cm3/molecule*sec,4,3.54,days,4,3.65,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID9020160,07_04_2020
Bis(tributyltin)oxide,56359,DTXSID9020166,596.115,,,132,°C,4,417,°C,4,1.5E-07,mol/L,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID9020166,07_04_2020
bis(2-Chloro-1-methylethyl) ether,108601,DTXSID4020167,171.06,,,-97,°C,1,187,°C,2,0.00994,mol/L,2,0.56,mmHg,2,39.5,°C,3,29.9,dyn/cm,3,1.44,4,41.2,cm^3,4,16.3,Å^3,4,1.09,g/cm^3,3,157,cm^3,4,116,mW/(m*K),4,1.11,cP,4,6.29E-05,4,4.53,4,,,,,,,12,2,46.8,L/kg,2,2.51E-11,cm3/molecule*sec,4,8.97,days,4,0.0851,days,2,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID4020167,07_04_2020
bis(Chloromethyl) ether,542881,DTXSID8020173,114.95,,,-41.5,°C,1,106,°C,2,0.191,mol/L,2,29.4,mmHg,2,55.1,°C,3,30.6,dyn/cm,3,1.42,4,22.8,cm^3,4,9.02,Å^3,4,1.25,g/cm^3,3,90.7,cm^3,4,124,mW/(m*K),4,0.59,cP,4,0.000153,4,3.22,4,,,,,,,3.48,3,12.7,L/kg,3,3.28E-12,cm3/molecule*sec,4,7.43,days,4,0.092,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID8020173,07_04_2020
Bisphenol A,80057,DTXSID7020182,228.291,,,156,°C,1,200,°C,2,0.000526,mol/L,2,3.43E-07,mmHg,3,190,°C,3,46,dyn/cm,4,1.6,4,68.2,cm^3,4,27,Å^3,4,1.17,g/cm^3,3,200,cm^3,4,150,mW/(m*K),4,9.66,cP,4,1.26E-07,4,8.38,4,,,,,,,150,1,1340,L/kg,3,1.64E-11,cm3/molecule*sec,4,15.1,days,4,1.86,days,2,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID7020182,07_04_2020
C.I. Direct Black 38,1937377,DTXSID7020184,781.73,1.4,3,,,,329,°C,3,2.37E-07,mol/L,3,1.75E-09,mmHg,3,,,,77.1,dyn/cm,4,1.77,4,190,cm^3,4,75.4,Å^3,4,1.68,g/cm^3,3,458,cm^3,4,,,,,,,2E-09,4,9.56,4,,,,,,,7.34,3,73400,L/kg,3,5.8E-11,cm3/molecule*sec,4,67.9,days,4,0.228,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID7020184,07_04_2020
FD&C Blue No. 1,3844459,DTXSID2020189,792.84,2.09,3,,,,380,°C,3,0.000117,mol/L,3,3.82E-10,mmHg,3,,,,,,,,,,,,,,,1.68,g/cm^3,4,,,,,,,,,,8.73E-10,4,9.61,4,,,,,,,,,137000,L/kg,4,7.67E-11,cm3/molecule*sec,4,15.6,days,4,0.324,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID2020189,07_04_2020
Dinoseb,88857,DTXSID3020207,240.215,,,55,°C,1,325,°C,1,0.000216,mol/L,2,3.76E-05,mmHg,3,141,°C,3,56.4,dyn/cm,4,1.59,4,60,cm^3,4,23.8,Å^3,4,1.35,g/cm^3,3,178,cm^3,4,145,mW/(m*K),4,14.5,cP,4,6.07E-08,4,8.76,4,,,,,,,61.6,1,501,L/kg,2,1.06E-11,cm3/molecule*sec,4,4.55,days,4,0.136,days,4,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID3020207,07_04_2020
Cadmium chloride,10108642,DTXSID6020226,183.31,,,,,,960,°C,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",https://comptox.epa.gov/dashboard/dsstoxdb/results?search=DTXSID6020226,07_04_2020
