TRI_CHEM_ID,Name,Molecular Mass,ΔcH°gas,ΔcH°gas - Units,ΔcH°liquid,ΔcH°liquid - Units,ΔcH°solid,ΔcH°solid - Units,Boiling Point,Boiling Point - Units,Melting Point,Melting Point - Units,IE,IE - Units,Proton affinity,Proton affinity - Units,Gas basicity,Gas basicity - Units,Source,Consulted Date
74828,Methane,16.0425,-890.7,kJ/mol,,,,,111,K,85.7,K,12.61,eV,543.5,kJ/mol,520.6,kJ/mol,https://webbook.nist.gov/,10_10_2019
78002,Tetraethyllead,323.4,,,-6383.5,kJ/mol,,,455.7,K,142.94,K,11.1,eV,,,,,https://webbook.nist.gov/,10_10_2019
50000,Formaldehyde,30.026,-570.78,kJ/mol,,,,,253.85,K,156.15,K,10.88,eV,712.9,kJ/mol,683.3,kJ/mol,https://webbook.nist.gov/,10_10_2019
51036,Piperonyl butoxide,338.4385,,,,,,,,,,,,,,,,,https://webbook.nist.gov/,10_10_2019
51218,5-Fluorouracil,130.0772,,,,,,,,,,,,,,,,,https://webbook.nist.gov/,10_10_2019
51285,"Phenol, 2,4-dinitro-",184.1064,,,,,-2720,kJ/mol,,,388,K,,,,,,,https://webbook.nist.gov/,10_10_2019
51796,Urethane,89.0932,,,,,-1663.8,kJ/mol,458.4,K,322,K,,,,,,,https://webbook.nist.gov/,10_10_2019
52686,Metrifonate,257.437,,,,,,,,,355.36,K,,,,,,,https://webbook.nist.gov/,10_10_2019
52857,Famphur,277.277,,,,,,,,,330,K,,,,,,,https://webbook.nist.gov/,10_10_2019
55630,Nitroglycerin,227.0865,,,-1529,kJ/mol,,,,,,,,,,,,,https://webbook.nist.gov/,10_10_2019
56235,Carbon Tetrachloride,153.823,,,-365.7,kJ/mol,,,349.8,K,250.3,K,11.47,eV,,,,,https://webbook.nist.gov/,10_10_2019
56382,Parathion,291.261,,,,,,,,,279.4,K,,,,,,,https://webbook.nist.gov/,10_10_2019
57147,"Hydrazine, 1,1-dimethyl-",60.0983,,,-1979.7,kJ/mol,,,336.2,K,216,K,7.29,eV,927.1,kJ/mol,894.7,kJ/mol,https://webbook.nist.gov/,10_10_2019
57410,Phenytoin,252.268,,,,,,,,,,,,,,,,,https://webbook.nist.gov/,10_10_2019
57749,Chlordane,409.779,,,,,,,,,374.3,K,,,,,,,https://webbook.nist.gov/,10_10_2019
58899,Lindane,290.83,,,-2741,kJ/mol,,,,,430,K,,,,,,,https://webbook.nist.gov/,10_10_2019
60093,"Benzenamine, 4-(phenylazo)-",197.2358,,,,,-6617.4,kJ/mol,633,K,398,K,,,,,,,https://webbook.nist.gov/,10_10_2019
60344,"Hydrazine, methyl-",46.0717,,,-1305.2,kJ/mol,,,364,K,,,7.7,eV,898.8,kJ/mol,866.4,kJ/mol,https://webbook.nist.gov/,10_10_2019
60355,Acetamide,59.0672,,,,,-1184.6,kJ/mol,494.4,K,352,K,9.69,eV,863.6,kJ/mol,832.6,kJ/mol,https://webbook.nist.gov/,10_10_2019
60515,Dimethoate,229.257,,,,,,,,,324.6,K,,,,,,,https://webbook.nist.gov/,10_10_2019
61825,3-Amino-s-triazole,84.08,,,,,-1435.5,kJ/mol,,,428.9,K,8.3,eV,,,,,https://webbook.nist.gov/,10_10_2019
62533,Aniline,93.1265,,,-3411,kJ/mol,-3391,kJ/mol,457,K,267,K,7.72,eV,882.5,kJ/mol,850.6,kJ/mol,https://webbook.nist.gov/,10_10_2019
62555,Ethanethioamide,75.133,,,,,-2030.56,kJ/mol,,,386.42,K,8.35,eV,884.6,kJ/mol,852.8,kJ/mol,https://webbook.nist.gov/,10_10_2019
