ID,NAT_AGG_PPV,YEAR,UNIT,Internal Tracking Number,Substance Name
100061,25000,2015,lb,19158,"Ethanone, 1-(4-methoxyphenyl)-"
100061,25000,2014,lb,19158,"Ethanone, 1-(4-methoxyphenyl)-"
100061,25000,2013,lb,19158,"Ethanone, 1-(4-methoxyphenyl)-"
100061,25000,2012,lb,19158,"Ethanone, 1-(4-methoxyphenyl)-"
10006287,500000,2015,lb,166207,"Silicic acid (H2SiO3), potassium salt (1:2)"
10006287,500000,2014,lb,166207,"Silicic acid (H2SiO3), potassium salt (1:2)"
10006287,500000,2013,lb,166207,"Silicic acid (H2SiO3), potassium salt (1:2)"
10006287,500000,2012,lb,166207,"Silicic acid (H2SiO3), potassium salt (1:2)"
100107,25000,2015,lb,19182,"Benzaldehyde, 4-(dimethylamino)-"
100107,25000,2014,lb,19182,"Benzaldehyde, 4-(dimethylamino)-"
100107,25000,2013,lb,19182,"Benzaldehyde, 4-(dimethylamino)-"
100107,25000,2012,lb,19182,"Benzaldehyde, 4-(dimethylamino)-"
100174,25000,2015,lb,19240,"Benzene, 1-methoxy-4-nitro-"
100174,25000,2014,lb,19240,"Benzene, 1-methoxy-4-nitro-"
100174,500000,2013,lb,19240,"Benzene, 1-methoxy-4-nitro-"
100174,100000,2012,lb,19240,"Benzene, 1-methoxy-4-nitro-"
10017568,500000,2015,lb,166264,"Ethanol, 2,2',2''-nitrilotris-, phosphate (1:?)"
10017568,100000,2014,lb,166264,"Ethanol, 2,2',2''-nitrilotris-, phosphate (1:?)"
10017568,500000,2013,lb,166264,"Ethanol, 2,2',2''-nitrilotris-, phosphate (1:?)"
10017568,500000,2012,lb,166264,"Ethanol, 2,2',2''-nitrilotris-, phosphate (1:?)"
100185,100000000,2015,lb,19257,"Benzene, 1,4-bis(1-methylethyl)-"
100185,500000000,2014,lb,19257,"Benzene, 1,4-bis(1-methylethyl)-"
100185,100000000,2013,lb,19257,"Benzene, 1,4-bis(1-methylethyl)-"
100185,100000000,2012,lb,19257,"Benzene, 1,4-bis(1-methylethyl)-"
100209,50000000,2015,lb,19265,"1,4-Benzenedicarbonyl dichloride"
100209,100000000,2014,lb,19265,"1,4-Benzenedicarbonyl dichloride"
100209,50000000,2013,lb,19265,"1,4-Benzenedicarbonyl dichloride"
100209,50000000,2012,lb,19265,"1,4-Benzenedicarbonyl dichloride"
100210,10000000000,2015,lb,19273,"1,4-Benzenedicarboxylic acid"
100210,10000000000,2014,lb,19273,"1,4-Benzenedicarboxylic acid"
100210,10000000000,2013,lb,19273,"1,4-Benzenedicarboxylic acid"
100210,10000000000,2012,lb,19273,"1,4-Benzenedicarboxylic acid"
10022318,1000000,2015,lb,166314,"Nitric acid, barium salt (2:1)"
10022318,10000000,2014,lb,166314,"Nitric acid, barium salt (2:1)"
10022318,10000000,2013,lb,166314,"Nitric acid, barium salt (2:1)"
10022318,1000000,2012,lb,166314,"Nitric acid, barium salt (2:1)"
10024665,100000,2015,lb,166363,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, manganese salt (1:?)"
10024665,1000000,2014,lb,166363,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, manganese salt (1:?)"
10024665,10000000,2013,lb,166363,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, manganese salt (1:?)"
10024665,1000000,2012,lb,166363,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, manganese salt (1:?)"
10024972,100000000,2015,lb,166389,Nitrogen oxide (N2O)
10024972,100000000,2014,lb,166389,Nitrogen oxide (N2O)
10024972,100000000,2013,lb,166389,Nitrogen oxide (N2O)
10024972,100000000,2012,lb,166389,Nitrogen oxide (N2O)
10025679,100000000,2015,lb,166405,Sulfur chloride (S2Cl2)
10025679,250000000,2014,lb,166405,Sulfur chloride (S2Cl2)
10025679,250000000,2013,lb,166405,Sulfur chloride (S2Cl2)
10025679,100000000,2012,lb,166405,Sulfur chloride (S2Cl2)
10025737,500000,2015,lb,166421,Chromium chloride (CrCl3)
10025737,100000,2014,lb,166421,Chromium chloride (CrCl3)
10025737,100000,2013,lb,166421,Chromium chloride (CrCl3)
10025737,100000,2012,lb,166421,Chromium chloride (CrCl3)
10025782,5000000000,2015,lb,166454,"Silane, trichloro-"
10025782,5000000000,2014,lb,166454,"Silane, trichloro-"
10025782,1000000000,2013,lb,166454,"Silane, trichloro-"
10025782,5000000000,2012,lb,166454,"Silane, trichloro-"
10025873,50000000,2015,lb,166488,Phosphoric trichloride
10025873,50000000,2014,lb,166488,Phosphoric trichloride
