CAS NUMBER,CATEGORY CODE,CATEGORY NAME,CHEMICAL NAME,CHEMICAL TYPE,SOURCE
95-57-8,N084,CHLOROPHENOLS,2-chlorophenol,Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
108-43-0,N084,CHLOROPHENOLS,3-chlorophenol,Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
106-48-9,N084,CHLOROPHENOLS,4-chloroplienol,Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
576-24-9,N084,CHLOROPHENOLS,"2,3-dichlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
583-78-8,N084,CHLOROPHENOLS,"2,5-dichlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
87-65-0,N084,CHLOROPHENOLS,"2,6,-dichlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
95-77-2,N084,CHLOROPHENOLS,"3,4,-dichlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
591-35-5,N084,CHLOROPHENOLS,"3,5,-dichlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
15950-66-0,N084,CHLOROPHENOLS,"2,3,4,-trichlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
933-78-8,N084,CHLOROPHENOLS,"2,3,5,-trichlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
933-75-5,N084,CHLOROPHENOLS,"2,3,6,-trichlorophcnol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
609-19-8,N084,CHLOROPHENOLS,"3,4,5-trichlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
4901-51-3,N084,CHLOROPHENOLS,"2,3,4,5-tetrachlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
58-90-2,N084,CHLOROPHENOLS,"2,3,4,6-tetrachlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
935-95-5,N084,CHLOROPHENOLS,"2,3,5,6-tetrachlorophenol",Organic,https://www.epa.gov/sites/production/files/documents/1999chlorophenolparta.PDF
