TRIFID,PRIMARY NAICS CODE,CAS NUMBER,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
98421CSCDP1640E,321114,N090,1050.0,Pounds,77.7202,NO,67.8214,79.8437,81.9672,87.8586,99.881,93.75,NO,8.0149,84.4791,0.0803,NO,R30
75652HNDRS1309K,327123,N040,1315.0,Pounds,50.1908,NO,38.3609,58.8154,63.6804,72.4518,92.9063,99.6212,YES,13.6364,68.112,0.1759,NO,R99
53224THLBR7855N,325612,71556,0.5,Pounds,0.0666,NO,0.0,0.0999,0.0999,0.1996,0.3492,0.1996,NO,0.0997,0.1379,0.3957,NO,R99
70807HCHST11911,325199,100414,108.0,Pounds,0.6697,NO,0.0,0.7309,0.7979,4.6916,10.6327,93.1034,YES,3.9607,10.6389,1.6662,YES,R19
15021NNLCTPOBOX,332111,7439965,0.5,Pounds,0.0333,NO,0.025,0.05,0.0666,0.0666,0.0916,0.0666,NO,0.0167,0.0555,0.2827,NO,R27
61641KYSTN7000S,331111,7664939,6000000.0,Pounds,90.9091,NO,90.9091,90.9091,90.9091,90.9091,90.9091,90.9091,NO,0.0,90.9091,0.0,NO,R40
07072MNHTT333ST,325611,7664417,0.5,Pounds,0.0059,NO,0.0,0.0067,0.0077,0.0408,0.0921,0.2331,YES,0.0342,0.0371,1.5248,YES,R99
62521KDMNF625SO,333415,76131,109000.0,Pounds,46.7226,NO,0.0,48.3751,50.1133,88.6956,100.0,96.6921,NO,40.3205,66.8099,0.3209,NO,R11
46550VTCNC900EW,332116,N450,389.0,Pounds,43.2222,NO,34.7146,52.0231,57.8869,63.5621,80.8706,98.731,YES,11.539,62.3029,0.2547,NO,R99
37931VNYLX2636B,326121,117840,206.0,Pounds,95.3704,NO,94.8054,96.5004,97.6303,97.6303,99.3253,97.6303,NO,1.13,96.877,0.011,NO,R19
71483CHMBNHIGHW,325211,50000,101710.0,Pounds,0.2654,NO,0.0,0.2655,0.2656,82.8672,100.0,99.9951,NO,82.6017,42.65,1.0352,YES,R99
44711SHLND2408G,324110,100414,1600.0,Pounds,0.2518,NO,0.0,0.2526,0.2533,30.7663,76.5368,99.9375,YES,30.5137,30.642,1.2411,YES,R99
75160TJSRS105TE,331419,N420,0.1,Pounds,0.0004,NO,0.0,0.0004,0.0004,0.0199,0.0492,1.9608,YES,0.0195,0.0757,4.5484,YES,R29
