TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
44691GSTTN4ELIN,331491,007697372,13104.0,Pounds,7.0804,NO,0.0,7.0853,7.0901,98.1095,100.0,99.9619,NO,91.0243,46.3603,0.9783,NO,H39
46312PLLTN4343K,562211,000108101,86425.0,Pounds,21.5264,NO,0.0,21.6598,21.7944,96.0176,100.0,99.9965,NO,74.3579,59.143,0.6392,NO,H20
56362SSCTD200RA,311513,007697372,103442.0,Pounds,27.0073,NO,0.0,27.0344,27.0616,63.1623,100.0,99.263,NO,36.1279,51.1106,0.6662,NO,H39
45232CGNSC49EST,325998,000067561,500000.0,Pounds,50.3931,NO,22.3055,55.6516,61.7284,77.8824,100.0,99.2063,NO,22.2307,70.602,0.2385,NO,H20
89803BRRCK27MIL,212221,N078,24.0,Pounds,0.051,NO,0.0,0.051,0.051,49.4898,100.0,96.0,NO,49.4388,30.8802,1.1647,YES,H39
90023CRTFD3342E,332812,000108883,2270.0,Pounds,9.0022,NO,0.0,9.0445,9.0869,90.7094,100.0,99.7802,NO,81.6648,45.3396,0.9264,NO,H20
89821CRTZGSTARA,212221,N100,5995.0,Pounds,3.5125,NO,0.0,3.519,3.5255,47.0081,100.0,90.4906,NO,43.489,32.5095,1.2611,YES,H39
63111LMXFL6100S,331315,007439921,228.2,Pounds,48.6723,NO,0.0,50.4895,52.4477,92.6152,100.0,99.1312,NO,42.1256,70.0451,0.3005,NO,H10
67147BRTNS201SC,424690,000108883,714.0,Pounds,21.8015,NO,0.0,25.1859,29.75,55.9261,100.0,89.6985,NO,30.7402,42.4638,0.4907,NO,H20
47712BTZPL2301W,332998,N495,43.0,Pounds,12.7976,NO,0.0,13.7367,14.6758,32.3379,60.2397,50.0,NO,18.6012,25.8245,0.6626,NO,H39
47201DMTCR1751A,332117,007440508,2055.1,Pounds,4.9972,NO,0.0,5.0234,5.0496,83.0351,100.0,99.285,NO,78.0117,40.7784,1.0199,YES,H39
66111BRTNS901S6,424690,000067561,1913.0,Pounds,42.7295,NO,0.0,46.329,50.5817,82.5167,100.0,97.9017,NO,36.1877,63.7569,0.3029,NO,H20
51502BRTNS21359,424690,000095636,46.0,Pounds,16.1404,NO,0.0,16.9973,17.8988,63.9382,100.0,92.0,NO,46.9409,41.13,0.7097,NO,H20
30903DSMCHNO1CO,325199,000110827,92172.0,Pounds,14.7897,NO,0.0,15.7638,16.875,69.6811,100.0,99.9371,NO,53.9173,44.0471,0.6851,NO,H20
47715WNDSR601NO,326199,N495,6487.5,Pounds,3.5731,NO,0.0,3.5767,3.5802,95.9921,100.0,99.0836,NO,92.4155,47.1457,0.9882,NO,H10
95330MNRLF342RO,327390,007439921,43.0,Pounds,98.7824,NO,98.7824,98.7824,98.7824,98.7824,98.7824,98.7824,NO,0.0,98.7824,0.0,NO,H39
44706THTMK1835D,331111,007440473,442.0,Pounds,0.0213,NO,0.0,0.0213,0.0213,9.7824,24.4242,99.413,YES,9.7612,16.395,1.7333,YES,H10
39577NTRNTOLDHI,321114,000087865,1077.0,Pounds,32.9459,NO,0.0,33.2323,33.5201,95.2258,100.0,99.63,NO,61.9935,60.4303,0.5202,NO,H39
77358NVRSLHWY75,321114,N100,15843.0,Pounds,96.7689,NO,94.6068,96.8696,96.9703,98.3781,100.0,99.7859,NO,1.5085,97.8417,0.0141,NO,H39
1413WMTLLC24CRY,335991,000191242,2.32,Pounds,2.7547,NO,0.0,2.7682,2.7818,38.3336,91.6816,73.8854,NO,35.5653,26.4739,1.2663,YES,H39
30223BNDGN801GR,326211,N982,9786.0,Pounds,15.7961,NO,0.0,17.4168,19.1406,49.7446,98.2362,99.8062,YES,32.3277,42.987,0.7207,NO,H39
35215LBMCP1501R,331525,007440508,117386.0,Pounds,74.1317,NO,40.9755,75.0636,76.0164,97.7891,100.0,99.9932,NO,22.7254,85.8341,0.1345,NO,H10
39601GRDNRINDUS,321114,N590,9193.2,Pounds,98.6226,NO,96.6081,98.6331,98.6437,99.9831,100.0,99.9967,NO,1.35,99.2652,0.0068,NO,H39
27292PDMNTRTE14,323111,000067561,28.72,Pounds,0.605,NO,0.0,0.6377,0.6703,3.2615,7.1971,5.8526,NO,2.6238,2.376,1.0347,YES,H20
76501DLTCN3402C,331513,N495,54966.0,Pounds,29.4402,NO,0.0,29.4408,29.4414,99.989,100.0,99.9929,NO,70.5482,59.6763,0.585,NO,H39
31323BFLCRCHEMI,325998,000107131,1000.0,Pounds,41.0004,NO,0.0,41.3315,41.6667,96.7141,100.0,99.0099,NO,55.3826,65.3954,0.4251,NO,H39
60152RNLDN300WE,332999,007440020,7333.25,Pounds,32.842,NO,0.0,33.075,33.3112,97.3728,100.0,99.2403,NO,64.2979,63.1965,0.5097,NO,H10
77978FRMSPPOBOX,325211,000108907,638679.0,Pounds,99.9985,NO,99.9975,99.9986,99.9986,99.9993,100.0,100.0,NO,0.0007,99.999,0.0,NO,H39
37210PLRTC136FS,562920,000075456,406861.0,Pounds,99.8773,NO,99.8619,99.9079,99.9386,99.9386,99.9846,99.9386,NO,0.0307,99.9181,0.0003,NO,H20
40475THSHRBOGGS,325510,001330207,2406502.0,Pounds,85.9641,NO,76.4457,88.5249,91.2424,96.5776,100.0,100.0,NO,8.0527,92.6324,0.0474,NO,H20
54701WRRNV5200S,562211,000095636,185859.0,Pounds,67.4803,NO,18.8881,67.503,67.5257,99.9129,100.0,99.9753,NO,32.4099,81.4019,0.1972,NO,H20
55164KCHRFPOBOX,324110,000120127,1.9,Pounds,0.1695,NO,0.0,0.2036,0.254,0.8522,1.8252,95.0,YES,0.6486,1.9777,3.2884,YES,H20
7506WTXMCK25MCD,327320,N420,3.374,Pounds,95.8523,NO,94.278,96.445,97.0377,97.8896,100.0,98.7416,NO,1.4447,97.2105,0.0122,NO,H39
70601CRBLN900OP,325510,000108883,26660.0,Pounds,45.6015,NO,0.0,47.2122,48.8475,87.6093,100.0,99.152,NO,40.3971,66.1777,0.3356,NO,H20
9227WTHSND7246V,327320,N420,16.016,Pounds,83.6703,NO,80.7073,87.1905,90.7114,91.5127,97.9959,99.995,YES,4.3222,90.2547,0.057,NO,H39
40391CNTCH700TE,332312,N982,51580.0,Pounds,70.89,NO,32.339,71.7116,72.5508,97.96,100.0,99.9998,NO,26.2484,84.8325,0.1574,NO,H10
31995CLMBS1600N,331511,007440508,283305.0,Pounds,96.1431,NO,90.9483,96.258,96.3731,99.7978,100.0,99.9951,NO,3.5398,98.0048,0.0184,NO,H10
28451GNRLWHIGHW,321114,000087865,1282.0,Pounds,53.173,NO,0.0,53.8037,54.4374,95.9223,100.0,99.7665,NO,42.1187,72.4041,0.2971,NO,H39
60627SCDYN13931,325998,000124403,8200.0,Pounds,94.9294,NO,91.2435,94.9734,95.0174,97.46,100.0,99.9025,NO,2.4866,96.6164,0.0241,NO,H39
30027KPPRS1579K,325320,007664417,5000.0,Pounds,8.3015,NO,0.0,9.3418,10.3821,19.8366,35.5788,29.2912,NO,10.4948,15.9916,0.5905,NO,H39
77978FRMSPPOBOX,325211,000110543,132980.0,Pounds,6.4439,NO,0.0,8.2924,11.3346,17.864,32.2213,85.1421,YES,9.5716,19.8259,0.972,NO,H20
63701SPRTCONEAT,326113,007439976,1.9,Pounds,71.1557,NO,49.5331,71.1584,71.161,85.5753,100.0,99.9895,NO,14.4169,80.7687,0.1683,NO,H39
18014FFRTF698CH,331511,007440473,18.71,Pounds,4.2268,NO,0.0,5.6262,7.0415,9.6068,15.5777,99.5001,YES,3.9806,24.9184,1.4448,YES,H10
70663GLFCS1697P,488310,000191242,0.1,Pounds,6.6225,NO,0.0,6.6446,6.6667,48.7879,100.0,90.9091,NO,42.1433,34.7328,1.1437,YES,H39
01056CPCRX203WE,325612,000067561,1360.0,Pounds,60.3908,NO,16.7222,62.3425,64.4244,92.756,100.0,95.2381,NO,30.4135,75.7501,0.2052,NO,H20
84401KLTRN1675W,325199,N982,5750.63,Pounds,57.8264,NO,0.0,57.8709,57.9155,99.7372,100.0,99.9982,NO,41.8663,77.4604,0.2704,NO,H39
16602FDRTD6THAV,331492,N010,12589.0,Pounds,99.786,NO,99.5997,99.8137,99.8414,99.9563,100.0,99.9762,NO,0.1427,99.8777,0.0008,NO,H10
70560LSNBL4218C,332812,000108883,7150.0,Pounds,33.3333,NO,33.3333,33.3333,33.3333,33.3333,33.3333,33.3333,NO,0.0,33.3333,0.0,NO,H20
9215WSSCTD1696C,327320,N420,0.1,Pounds,0.1873,NO,0.1873,0.1873,0.1873,0.1873,0.1873,0.1873,NO,0.0,0.1873,0.0,NO,H39
51041DMNDVINDUS,325510,000108883,31881.0,Pounds,80.4527,NO,53.0625,80.7276,81.0026,99.171,100.0,99.9843,NO,18.4434,88.7481,0.1044,NO,H20
61820DVNCD3206F,336399,N120,2200.0,Pounds,79.9422,NO,54.911,80.7073,81.4815,97.9049,100.0,99.5565,NO,17.1976,88.315,0.0998,NO,H39
21226CHMTL711PI,325188,N450,453612.0,Pounds,97.5598,NO,96.8534,98.1448,98.7341,99.0057,100.0,99.9729,NO,0.8609,98.7316,0.0078,NO,H39
49464HXCLC215CE,325192,000110861,130000.0,Pounds,81.6352,NO,56.7417,82.08,82.5282,98.9722,100.0,99.9862,NO,16.8922,90.0935,0.0952,NO,H20
27320BHMFLROUTE,325613,000123728,9500.0,Pounds,99.8948,NO,99.8817,99.9211,99.9474,99.9474,99.9868,99.9474,NO,0.0263,99.9299,0.0002,NO,H39
60617HRSHD2701E,331492,N420,2097.0,Pounds,83.7661,NO,71.6116,83.7728,83.7795,91.8802,100.0,99.9809,NO,8.1074,89.1755,0.0857,NO,H10
97503MCMPN8124P,325992,000108883,49976.0,Pounds,77.214,NO,64.0396,80.9802,85.0655,92.2739,100.0,99.99,NO,11.2937,87.589,0.0849,NO,H20
36571LLPTRINDUS,324110,000110543,111058.0,Pounds,93.5769,NO,90.511,94.7184,95.8603,97.5232,100.0,99.9883,NO,2.8049,96.2727,0.0221,NO,H39
26722KPPRSRAILR,321114,N590,98934.9,Pounds,99.1558,NO,98.0508,99.1911,99.2263,99.9513,100.0,99.9999,NO,0.7602,99.5743,0.0039,NO,H39
62040GRNTC20THS,331111,000120127,9600.0,Pounds,82.6873,NO,71.2706,84.976,87.2727,94.113,100.0,99.9896,NO,9.137,90.7034,0.0712,NO,H39
77507KZCHM13000,325199,000107186,2500000.0,Pounds,99.2259,NO,98.189,99.2555,99.2851,99.9665,100.0,99.9994,NO,0.711,99.6002,0.0036,NO,H20
54304STRND810PA,332813,N090,0.5,Pounds,0.0017,NO,0.0,0.0017,0.0017,4.7619,11.9022,9.0909,NO,4.7602,2.9865,1.1998,YES,H39
82931XBWHYI80EX,324110,000100414,1046.81,Pounds,88.5746,NO,80.7553,90.1524,91.7409,96.4171,100.0,99.9618,NO,6.2647,93.949,0.0452,NO,H39
53051RBCRPN92W1,325510,001330207,13061.0,Pounds,39.464,NO,0.0,43.334,47.8477,74.8274,100.0,97.115,NO,31.4934,61.0153,0.3307,NO,H20
36571LLPTRINDUS,324110,000110827,12477.0,Pounds,84.7739,NO,78.1993,88.3827,91.2528,95.1716,100.0,99.9998,NO,6.7889,91.9207,0.0491,NO,H39
34221HMSCH7610H,325320,000074839,4197.0,Pounds,91.2788,NO,86.0675,91.7603,92.2418,95.5555,100.0,98.8693,NO,3.7952,94.1299,0.0358,NO,H39
84054BGWST333WE,324110,000108883,117674.0,Pounds,96.0136,NO,92.0526,96.4149,96.8184,99.3231,100.0,100.0,NO,2.9082,97.9609,0.0164,NO,H20
84054BGWST333WE,324110,000110827,37573.0,Pounds,92.6759,NO,86.121,93.6538,94.6519,98.6757,100.0,99.972,NO,5.0219,96.0273,0.0274,NO,H20
6408WRNTTL12MAI,325211,001330207,90.0,Pounds,6.7164,NO,0.0,8.2569,10.7143,20.8624,39.7707,26.4706,NO,12.6055,14.5914,0.5433,NO,H39
98541MRTNTROUTE,325188,000067561,1382980.0,Pounds,49.6918,NO,0.0,49.8325,49.974,99.408,100.0,99.9441,NO,49.5755,74.2317,0.334,NO,H20
60438BCHMC2700E,325510,000095636,4371.0,Pounds,22.6923,NO,0.0,24.553,26.7454,73.8857,100.0,98.869,NO,49.3327,50.1328,0.5344,NO,H20
34620TSNDS52601,326291,000108883,159723.95,Pounds,93.7465,NO,91.4765,94.6631,95.5796,96.7874,99.974,97.9952,NO,2.1244,95.7738,0.0182,NO,H20
70094KMRWT18RIV,325199,000079061,32.0,Pounds,0.0077,NO,0.0,0.0077,0.0077,6.0094,15.012,96.9697,YES,6.0017,11.0348,2.1803,YES,H39
86401GRDNF4200I,327993,N420,22.76,Pounds,40.9647,NO,0.0,41.3783,41.7921,95.4098,100.0,99.9561,NO,54.0315,65.1842,0.4223,NO,H10
55041JPTRN520N8,331511,007439965,54754.0,Pounds,49.9703,NO,0.0,50.831,51.7113,94.9107,100.0,99.9452,NO,44.0797,72.0776,0.316,NO,H10
44425LLWDN7158M,331511,N450,368580.0,Pounds,98.271,NO,96.1468,98.3697,98.4687,99.8517,100.0,99.9986,NO,1.4819,99.0762,0.0077,NO,H39
60609MTLFN4025S,325998,007697372,1100.0,Pounds,64.5161,NO,19.3676,65.5738,66.6667,96.3779,100.0,97.6043,NO,30.8041,78.9558,0.1959,NO,H39
