TRI_CHEM_ID,EFFICIENCY RANGE CODE,METHOD NAME - 2005 AND AFTER,WASTE STREAM CODE,NUMBER
100016,E2,Incineration - thermal destruction other than use as a fuel,L,1
100016,E2,Incineration - thermal destruction other than use as a fuel,S,2
100016,E2,Incineration - thermal destruction other than use as a fuel,W,1
100016,E3,Incineration - thermal destruction other than use as a fuel,L,2
100016,E3,Incineration - thermal destruction other than use as a fuel,S,3
100016,E3,Incineration - thermal destruction other than use as a fuel,W,1
100016,E4,Other Air Emission Treatment,A,1
100016,E5,Absorber,A,1
100016,E5,Condenser,A,1
100016,E5,Scrubber,A,1
100027,E1,Biological treatment with or without precipitation,W,1
100027,E1,Incineration - thermal destruction other than use as a fuel,L,1
100027,E1,Incineration - thermal destruction other than use as a fuel,S,1
100027,E2,Incineration - thermal destruction other than use as a fuel,L,2
100027,E2,Incineration - thermal destruction other than use as a fuel,S,1
100027,E3,Biological treatment with or without precipitation,W,1
100027,E3,Incineration - thermal destruction other than use as a fuel,L,3
100027,E3,Incineration - thermal destruction other than use as a fuel,S,4
100027,E4,Adsorption,W,1
100027,E4,Incineration - thermal destruction other than use as a fuel,L,1
100027,E4,Scrubber,A,1
100027,E5,Adsorption,A,1
100027,E6,Neutralization,W,1
100210,E1,Biological treatment with or without precipitation,W,1
100210,E1,Incineration - thermal destruction other than use as a fuel,A,1
100210,E1,Incineration - thermal destruction other than use as a fuel,L,1
100210,E1,Incineration - thermal destruction other than use as a fuel,S,1
100210,E1,Mechanical Separation,A,2
100210,E1,Neutralization,L,1
100210,E1,Neutralization,W,1
100210,E1,Settling or clarification,S,1
100210,E1,Settling or clarification,W,3
100210,E3,Biological treatment with or without precipitation,W,1
100210,E3,Incineration - thermal destruction other than use as a fuel,A,1
100210,E3,Incineration - thermal destruction other than use as a fuel,L,4
100210,E3,Incineration - thermal destruction other than use as a fuel,S,1
100210,E3,Incineration - thermal destruction other than use as a fuel,W,2
100210,E3,Mechanical Separation,A,5
100210,E3,Other Air Emission Treatment,A,2
100210,E4,Incineration - thermal destruction other than use as a fuel,A,1
100210,E4,Incineration - thermal destruction other than use as a fuel,W,1
100210,E4,Mechanical Separation,A,2
100210,E4,Mechanical Separation,S,1
100210,E4,Scrubber,A,3
100210,E4,Settling or clarification,S,1
100210,E5,Biological treatment with or without precipitation,W,2
100210,E5,Mechanical Separation,A,1
100210,E5,Phase separation,W,1
100210,E5,Scrubber,A,1
100210,E5,Scrubber,S,1
100210,E5,Settling or clarification,W,1
100210,E6,Other treatment,W,1
100210,E6,Scrubber,A,1
100254,E1,Biological treatment with or without precipitation,W,1
100254,E1,Incineration - thermal destruction other than use as a fuel,S,1
100254,E3,Incineration - thermal destruction other than use as a fuel,L,1
100254,E3,Other Air Emission Treatment,A,1
100254,E6,Mechanical Separation,A,1
10028156,E1,Chemical oxidation,W,1
10028156,E1,Chemical reduction with or without precipitation,A,4
10028156,E1,Chemical reduction with or without precipitation,W,1
10028156,E1,Incineration - thermal destruction other than use as a fuel,A,2
10028156,E1,Incineration - thermal destruction other than use as a fuel,W,1
10028156,E1,Neutralization,A,1
10028156,E1,Neutralization,W,2
10028156,E1,Other Air Emission Treatment,A,4
10028156,E1,Other treatment,W,1
10028156,E1,Scrubber,A,2
10028156,E2,Chemical reduction with or without precipitation,W,3
10028156,E2,Other Air Emission Treatment,A,5
10028156,E3,Chemical reduction with or without precipitation,A,1
10028156,E3,Chemical reduction with or without precipitation,W,2
10028156,E3,Flare,A,2
10028156,E3,Incineration - thermal destruction other than use as a fuel,A,1
10028156,E3,Other Air Emission Treatment,A,12
10028156,E3,Other treatment,W,1
10028156,E3,Scrubber,A,2
10028156,E3,Wet air oxidation,L,1
10028156,E4,Chemical oxidation,A,1
10028156,E4,Chemical reduction with or without precipitation,W,2
10028156,E4,Flare,A,1
10028156,E4,Incineration - thermal destruction other than use as a fuel,A,2
10028156,E4,Incineration - thermal destruction other than use as a fuel,W,1
10028156,E4,Other Air Emission Treatment,A,15
10028156,E4,Other treatment,W,1
10028156,E4,Scrubber,A,1
10028156,E4,Wet air oxidation,L,1
10028156,E5,Chemical reduction with or without precipitation,W,2
10028156,E5,Incineration - thermal destruction other than use as a fuel,A,1
10028156,E5,Other Air Emission Treatment,A,5
10028156,E5,Other treatment,L,1
10028156,E5,Other treatment,W,2
10028156,E5,Scrubber,A,5
10028156,E6,Chemical oxidation,A,1
10028156,E6,Incineration - thermal destruction other than use as a fuel,A,1
10028156,E6,Mechanical Separation,A,1
10028156,E6,Other Air Emission Treatment,A,4
10028156,E6,Scrubber,A,13
10034932,E1,Neutralization,W,1
10034932,E4,Scrubber,A,1
100414,E1,Absorber,A,2
100414,E1,Adsorption,A,5
100414,E1,Adsorption,W,8
100414,E1,Air or steam stripping,S,1
100414,E1,Air or steam stripping,W,7
100414,E1,Biological treatment with or without precipitation,L,1
100414,E1,Biological treatment with or without precipitation,S,15
100414,E1,Biological treatment with or without precipitation,W,36
100414,E1,Condenser,A,1
100414,E1,Evaporation,S,1
100414,E1,Flare,A,20
100414,E1,Flare,L,1
100414,E1,Incineration - thermal destruction other than use as a fuel,A,28
100414,E1,Incineration - thermal destruction other than use as a fuel,L,29
100414,E1,Incineration - thermal destruction other than use as a fuel,S,21
100414,E1,Incineration - thermal destruction other than use as a fuel,W,9
100414,E1,Macro-encapsulation prior to disposal,S,1
100414,E1,Neutralization,W,2
100414,E1,Other Air Emission Treatment,A,9
100414,E1,Other recovery or reclamation for reuse (including acid regeneration or other chemical reaction process),L,1
100414,E1,Other treatment,L,3
100414,E1,Other treatment,S,1
100414,E1,Other treatment,W,5
100414,E1,Phase separation,L,1
100414,E1,Phase separation,W,10
100414,E1,Scrubber,A,3
100414,E1,Settling or clarification,W,1
100414,E1,Sludge treatment and/or dewatering,L,1
100414,E1,Sludge treatment and/or dewatering,S,2
100414,E1,"Solvent recovery (including distillation, evaporation, fractionation or extraction)",L,5
100414,E1,"Solvent recovery (including distillation, evaporation, fractionation or extraction)",W,1
100414,E2,Adsorption,A,3
100414,E2,Adsorption,W,3
100414,E2,Biological treatment with or without precipitation,W,3
100414,E2,Electrostatic Precipitator,A,2
100414,E2,Flare,A,5
100414,E2,Incineration - thermal destruction other than use as a fuel,A,22
100414,E2,Incineration - thermal destruction other than use as a fuel,L,17
