TRI_CHEM_ID,EFFICIENCY RANGE CODE,WASTE STREAM CODE,CHEMICAL/PHYSICAL,NUMBER
100210,E6,W,Physical,1
10028156,E4,W,Physical,1
10028156,E5,L,Chemical,1
10028156,E5,W,Chemical,1
100414,E1,L,Chemical,1
100414,E1,L,Physical,2
100414,E1,S,Physical,1
100414,E1,W,Physical,5
100414,E3,A,Physical,4
100414,E3,L,Physical,2
100414,E3,W,Physical,1
100414,E4,L,Chemical,1
100414,E4,L,Physical,9
100414,E4,S,Physical,1
100414,E5,A,Chemical,1
100414,E5,A,Physical,3
100414,E5,L,Physical,6
100414,E5,W,Chemical,1
100414,E5,W,Physical,2
100414,E6,A,Physical,2
100414,E6,L,Physical,4
100414,E6,S,Physical,3
100414,E6,W,Physical,2
100425,E1,L,Chemical,19
100425,E1,L,Physical,3
100425,E1,S,Physical,3
100425,E1,W,Chemical,1
100425,E1,W,Physical,2
100425,E3,L,Physical,1
100425,E3,W,Chemical,1
100425,E4,L,Chemical,3
100425,E4,L,Physical,1
100425,E4,S,Chemical,1
100425,E4,S,Physical,1
100425,E4,W,Chemical,2
100425,E4,W,Physical,2
100425,E4,X,Chemical,1
100425,E5,L,Chemical,5
100425,E5,L,Physical,3
100425,E5,S,Chemical,1
100425,E5,S,Physical,1
100425,E5,W,Physical,1
100425,E6,L,Chemical,1
100425,E6,L,Physical,3
100425,E6,S,Physical,4
100425,E6,W,Physical,1
100447,E1,L,Chemical,1
100447,E1,W,Physical,2
100447,E3,L,Chemical,1
100447,E4,W,Chemical,1
100447,E4,W,Physical,1
10049044,E1,A,Chemical,1
10049044,E1,W,Chemical,8
10049044,E1,W,Physical,4
10049044,E3,A,Chemical,1
10049044,E3,W,Chemical,1
10049044,E4,A,Chemical,1
10049044,E4,L,Chemical,1
10049044,E5,A,Chemical,1
10049044,E6,A,Chemical,1
10049044,E6,W,Chemical,2
101144,E1,S,Chemical,1
101144,E4,S,Chemical,1
101688,E1,L,Chemical,24
101688,E1,L,Physical,3
101688,E1,S,Chemical,5
101688,E1,S,Physical,1
101688,E1,W,Chemical,3
101688,E1,W,Physical,1
101688,E3,L,Chemical,1
101688,E3,W,Chemical,1
101688,E4,L,Chemical,4
101688,E4,L,Physical,4
101688,E4,S,Chemical,1
101688,E4,S,Physical,1
101688,E5,L,Chemical,2
101688,E6,L,Chemical,1
101688,E6,L,Physical,2
101688,E6,S,Chemical,1
101779,E5,W,Physical,1
105679,E6,W,Physical,1
106423,E1,L,Physical,1
106423,E1,W,Physical,1
106423,E4,L,Physical,1
106445,E1,L,Physical,1
106445,E5,W,Chemical,1
106445,E5,W,Physical,1
106467,E4,S,Physical,1
106503,E6,W,Physical,1
106898,E1,L,Chemical,2
106898,E1,W,Chemical,7
106898,E1,W,Physical,1
106898,E3,L,Chemical,1
106898,E3,W,Chemical,3
106898,E4,A,Chemical,1
106898,E4,L,Chemical,1
106898,E4,W,Chemical,3
106898,E5,L,Chemical,1
106898,E5,W,Chemical,2
106898,E6,L,Physical,1
106898,E6,S,Physical,1
106898,E6,W,Chemical,3
106990,E1,L,Chemical,1
106990,E4,W,Physical,1
106990,E6,W,Physical,1
107028,E1,W,Physical,1
107028,E6,L,Physical,3
107051,E5,W,Physical,1
107062,E1,W,Physical,2
107062,E4,L,Physical,1
107062,E4,W,Chemical,1
107062,E4,W,Physical,1
107062,E5,A,Physical,1
107062,E5,L,Physical,1
107062,E5,W,Chemical,1
107062,E5,W,Physical,2
107062,E6,L,Physical,1
107062,E6,S,Physical,2
107062,E6,W,Chemical,1
107131,E1,L,Physical,1
107131,E1,W,Physical,3
107131,E3,L,Physical,1
107131,E3,W,Chemical,2
107131,E4,W,Chemical,2
107131,E5,W,Chemical,2
107131,E5,W,Physical,1
107131,E6,A,Physical,1
107131,E6,L,Physical,1
107131,E6,W,Chemical,1
107131,E6,W,Physical,1
107186,E6,L,Physical,1
107186,E6,S,Physical,1
107211,E1,A,Physical,1
107211,E1,L,Chemical,5
107211,E1,L,Physical,1
107211,E1,S,Physical,4
107211,E1,W,Chemical,1
107211,E1,W,Physical,5
107211,E3,L,Chemical,1
107211,E3,S,Physical,1
107211,E3,W,Chemical,1
107211,E3,W,Physical,2
107211,E4,L,Physical,1
107211,E4,S,Physical,1
107211,E4,W,Chemical,4
107211,E4,W,Physical,6
107211,E5,A,Physical,1
107211,E5,L,Chemical,1
107211,E5,L,Physical,1
107211,E5,S,Physical,1
107211,E5,W,Chemical,2
107211,E5,W,Physical,5
107211,E6,L,Physical,1
107211,E6,S,Chemical,1
107211,E6,S,Physical,2
107211,E6,W,Chemical,5
107211,E6,W,Physical,9
107302,E1,L,Chemical,1
107302,E1,W,Chemical,2
108054,E1,A,Physical,1
108054,E1,W,Physical,1
108054,E3,S,Physical,1
108054,E4,W,Chemical,1
108054,E5,W,Chemical,1
108054,E5,W,Physical,2
108054,E6,W,Chemical,1
108054,E6,W,Physical,2
108101,E1,L,Physical,1
108101,E1,W,Physical,4
108101,E3,L,Physical,1
108101,E3,W,Physical,1
108101,E4,A,Physical,1
108101,E4,L,Chemical,1
108101,E4,L,Physical,5
108101,E4,S,Physical,1
108101,E4,W,Physical,1
108101,E5,L,Physical,8
108101,E5,W,Chemical,1
108101,E5,W,Physical,2
108101,E6,A,Physical,1
108101,E6,L,Physical,5
108101,E6,S,Physical,2
108101,E6,W,Physical,3
108316,E1,A,Chemical,1
108316,E1,L,Chemical,3
108316,E1,S,Chemical,1
108316,E1,W,Chemical,6
108316,E1,W,Physical,5
108316,E3,A,Chemical,1
108316,E3,S,Physical,1
108316,E3,W,Chemical,1
108316,E4,A,Physical,1
108316,E4,W,Chemical,1
108316,E4,W,Physical,1
108316,E6,L,Chemical,1
108394,E1,W,Chemical,1
108394,E4,W,Chemical,1
108452,E4,S,Physical,2
108883,E1,L,Chemical,1
108883,E1,L,Physical,8
108883,E1,S,Chemical,1
108883,E1,S,Physical,2
108883,E1,W,Chemical,1
108883,E1,W,Physical,5
108883,E3,A,Physical,4
108883,E3,L,Physical,4
108883,E3,W,Chemical,1
108883,E4,A,Physical,3
108883,E4,L,Chemical,1
108883,E4,L,Physical,17
108883,E4,S,Physical,7
108883,E4,W,Chemical,2
108883,E4,W,Physical,4
108883,E5,A,Physical,11
108883,E5,L,Chemical,2
108883,E5,L,Physical,32
108883,E5,S,Physical,4
108883,E5,W,Chemical,2
108883,E5,W,Physical,2
108883,E6,A,Physical,1
108883,E6,L,Physical,13
108883,E6,S,Chemical,1
108883,E6,S,Physical,8
108883,E6,W,Physical,15
108907,E4,A,Physical,1
108907,E4,L,Physical,1
108907,E6,L,Physical,1
108952,E1,S,Physical,2
108952,E1,W,Physical,3
108952,E3,A,Physical,1
108952,E3,L,Physical,1
108952,E3,W,Chemical,3
108952,E3,W,Physical,2
108952,E4,A,Chemical,1
108952,E4,L,Chemical,1
108952,E4,L,Physical,1
108952,E4,S,Physical,1
108952,E4,W,Chemical,6
108952,E4,W,Physical,5
108952,E5,A,Chemical,1
108952,E5,S,Physical,2
108952,E5,W,Chemical,7
108952,E5,W,Physical,6
108952,E6,L,Physical,2
108952,E6,S,Physical,3
108952,E6,W,Chemical,4
108952,E6,W,Physical,7
109864,E1,A,Physical,1
109864,E4,A,Physical,1
109864,E5,A,Physical,1
109864,E6,L,Physical,1
109864,E6,W,Physical,1
110543,E1,L,Physical,1
110543,E1,S,Physical,1
110543,E3,A,Physical,1
110543,E4,A,Chemical,1
110543,E4,L,Physical,1
110543,E4,S,Physical,1
110543,E4,W,Physical,1
110543,E5,A,Physical,1
110543,E5,L,Physical,1
110543,E5,S,Physical,1
110543,E6,A,Chemical,1
110543,E6,L,Physical,2
110543,E6,S,Physical,1
110543,E6,W,Physical,3
110805,E1,W,Chemical,1
110805,E4,W,Chemical,1
110805,E6,S,Physical,1
110827,E1,L,Physical,1
110827,E1,W,Physical,1
110827,E3,W,Physical,1
110827,E4,L,Physical,7
110827,E4,S,Physical,1
110827,E6,L,Physical,2
110861,E6,L,Physical,3
110861,E6,W,Physical,1
111422,E1,L,Physical,3
111422,E1,S,Physical,1
111422,E1,W,Chemical,1
111422,E3,W,Chemical,1
111422,E4,W,Chemical,2
111422,E4,W,Physical,3
111422,E5,L,Chemical,1
111422,E5,W,Physical,1
111422,E6,L,Physical,1
111422,E6,W,Physical,5
115071,E1,W,Physical,2
115071,E4,A,Physical,1
115071,E5,A,Physical,1
115071,E6,A,Physical,1
116063,E4,W,Chemical,1
1163195,E1,S,Physical,1
1163195,E4,S,Chemical,1
1163195,E5,S,Physical,4
1163195,E6,S,Physical,1
117817,E1,S,Physical,1
