TRIFID,TRI_CHEM_ID,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
14240DNLPT10SHE,N982,1.1,,,,,1999
91352PRMPL11321,N106,1.18,,,,,1999
08902PRSPC1202A,1330207,1.01,,,,,1999
49443SNCHM4925E,7664417,1.5,,,,,1999
54143SPCLT2STAN,67561,1.32,,,,,1999
54143SPCLT2STAN,108907,0.07,,,,,1999
94025RYCHM300CO,N982,1.28,,,,,1999
19381MTLLR810LI,7723140,1.24,,,,,1999
74029SPRRM1000E,7439965,0.0,,,,,1999
40511WBCFL1953M,79016,0.95,,,,,1999
67002PRTTL630E1,108101,1.19,,,,,1999
90745LDQKR21243,108883,0.81,,,,,1999
15845PNNTC100CE,120809,1.0,,,,,1999
03103LCTRP252WI,128041,0.0,,,,,1999
78071DMNDS301LE,74851,2.77,,,,,1999
46320DVSMP1275S,N420,1.35,,,,,1999
44142SNTRM5372W,127184,1.0,,,,,1999
46124HRGRFUS31N,N230,1.28,,,,,1999
15049WTSNS616HI,95636,1.47,,,,,1999
77522CHVRN9500I,91203,1.54,,,,,1999
44044RSSNC36790,25321226,1.0,,,,,1999
04976SDWRRRFD3U,79210,1.08,,,,,1999
46706RVSBRCR427,75092,1.6,,,,,1999
43219YNKNM1920L,78933,1.0,,,,,1999
28241HNKLC3300W,N230,1.31,,,,,1999
53212MLWKP1434N,N982,1.0,,,,,1999
21862SHWLL10048,N511,1.01,,,,,1999
85043VNWTR50S45,108883,0.0,,,,,1999
12832NRTNCONESE,N010,1.06,,,,,1999
06460BCCRP500BI,75092,0.75,,,,,1999
67002PRTTL630E1,1330207,1.19,,,,,1999
75041SHRWN2802W,71363,1.12,,,,,1999
27030NRTHC511CA,75092,1.01,,,,,1999
76634CHMCL2861F,7440622,1.06,,,,,1999
44142SNTRM5372W,7440666,1.0,,,,,1999
44146HKLLC7013K,107211,1.0,,,,,1999
02021PLYMT104RE,108883,1.18,,,,,1999
70079SHLLL265RI,107051,1.2,,,,,1999
63901BRGGSHWY14,N495,1.17,,,,,1999
92113RCSND2295E,110543,0.0,,,,,1999
92807MBLLT1477J,71432,0.0,,,,,1999
75935MBLLCUS87S,1330207,0.0,,,,,1999
55414GLBTL73024,79016,1.09,,,,,1999
46550VTCNC900EW,N982,1.1,,,,,1999
79714WSTCN9998H,N106,0.0,,,,,1999
48054DTRTD4505K,N096,0.67,,,,,1999
60007PNRYC1801E,67561,2.38,,,,,1999
23703CGNTR1WILD,7647010,1.05,,,,,1999
19501GWBLL110EM,108101,0.87,,,,,1999
08902PRSPC1202A,108883,1.01,,,,,1999
70805LLDSGCORNE,1717006,1.0,,,,,1999
26190MRCNCSTRT2,584849,1.29,,,,,1999
06516NTHNN350FR,N230,1.3,,,,,1999
49013BNGRN101RI,7440020,1.1,,,,,1999
72104WLLMTROUTE,67561,1.03,,,,,1999
70079SHLLL265RI,107028,1.2,,,,,1999
70805XXNCH4999S,100425,0.94,,,,,1999
08818CNLXC226TA,98828,1.09,,,,,1999
07036DCKRS1512W,108101,0.93,,,,,1999
61552CTRPLOLDGA,96457,1.05,,,,,1999
46320DVSMP1275S,108883,1.33,,,,,1999
40361MLLNCHIGHW,110827,1.18,,,,,1999
40504CHVRN1750O,71432,0.0,,,,,1999
61244CSHXX1100T,108883,0.6,,,,,1999
47201MPCTF20805,7439965,1.0,,,,,1999
24124HCHSTRT460,75058,1.02,,,,,1999
63901BRGGSHWY14,7440508,1.1,,,,,1999
37830BNGTN767BO,N982,0.87,,,,,1999
70079SHLLL265RI,78933,1.1,,,,,1999
90245LLDSG850SO,7664393,1.05,,,,,1999
07036DCKRS1512W,78842,0.93,,,,,1999
60628SHRWN11541,107211,1.08,,,,,1999
18014KYSTNRT329,1330207,2.13,,,,,1999
71411WLLMTHIGHW,120809,1.1,,,,,1999
40065HVLLY1100I,7440508,1.16,,,,,1999
28502DPNTKNCHIG,107211,0.7,,,,,1999
43207FRNKL2020B,79061,1.04,,,,,1999
30501KYSRC1233P,N230,0.97,,,,,1999
93206SFTYK2500W,1313275,0.0,,,,,1999
72949SGLCR3931C,N590,0.95,,,,,1999
97391GRGPCBUTLE,108952,1.1,,,,,1999
55927MCNLSHIGHW,N982,1.25,,,,,1999
72105RYNLDUSHWY,98862,0.98,,,,,1999
46402SSGRYONENO,74851,0.99,,,,,1999
60614GTMNN1511W,N230,1.45,,,,,1999
53959STLLF1120C,7697372,0.68,,,,,1999
37814NVRSL5649E,1330207,2.06,,,,,1999
77501TNNCM4403L,50000,1.11,,,,,1999
73069YRKNT5005N,7440508,1.0,,,,,1999
08066JHNSN2001A,N740,1.63,,,,,1999
31550MNNTMROUTE,7440382,0.0,,,,,1999
37015STTND500BY,N230,0.95,,,,,1999
77662TRNTY1815S,100414,1.03,,,,,1999
96705KLCTR4392W,7664417,0.0,,,,,1999
24534CLVRPRTE92,7664393,1.06,,,,,1999
97116TKTRN1521P,N450,1.1,,,,,1999
62249BLNSY509WE,7439921,1.05,,,,,1999
90744TXCRF1926E,100414,1.34,,,,,1999
39339GRGPCARMST,N120,0.99,,,,,1999
23231GRVRP4500S,110543,0.96,,,,,1999
23523CLNNS400EI,7440508,1.72,,,,,1999
70776BPRDC3830H,7647010,1.3,,,,,1999
63125CLMBN303EA,7664417,0.97,,,,,1999
54457NKSMLMARKE,67561,1.0,,,,,1999
33709THWST5111P,N982,1.03,,,,,1999
48212SNCNC500SD,110543,0.0,,,,,1999
45875WCWDC9444W,1717006,1.26,,,,,1999
19608SNCNCFRITZ,108883,0.0,,,,,1999
46402SSGRYONENO,132649,0.99,,,,,1999
30161MTLCN110MC,50000,1.17,,,,,1999
98837NNCRB330CO,7697372,1.08,,,,,1999
07008SHLND350RO,1330207,1.38,,,,,1999
70821STFFRAIRLI,91203,1.11,,,,,1999
90813RCPRD1400P,108883,1.0,,,,,1999
47635RCKPR2791N,N760,1.0,,,,,1999
45715MRCNLCOUNT,N450,0.9,,,,,1999
31550MNNTMROUTE,8001589,0.0,,,,,1999
70079SHLLL265RI,96184,1.2,,,,,1999
17876SNBRYOLDSU,7664939,0.0,,,,,1999
53950LRMNF206NL,75456,0.0,,,,,1999
19153XXNPH6850E,1330207,0.0,,,,,1999
04976SDWRRRFD3U,533744,0.0,,,,,1999
38109NTDPN404EM,67561,1.18,,,,,1999
98532QLCST102SE,7439965,0.79,,,,,1999
91733MLTCH218ME,95636,1.29,,,,,1999
42029LWDNC1637S,1332214,0.91,,,,,1999
08014MNSNTROUTE,85449,0.93,,,,,1999
42087WSTVCHIGHW,75070,0.96,,,,,1999
44125TMLNS13700,127184,1.57,,,,,1999
18103MBLLL1134N,110543,0.0,,,,,1999
29730HCHST2850C,75058,0.75,,,,,1999
02818STNLYBRIGG,67561,1.01,,,,,1999
92366MLYCRI15AN,110543,0.0,,,,,1999
91406QLNVN8100N,100414,0.99,,,,,1999
37760PHLPSOLDAN,1330207,0.0,,,,,1999
32226STJHN11201,7664393,1.0,,,,,1999
43605SNCNC1601W,91203,0.0,,,,,1999
29180NRYLGMAPLE,50000,1.07,,,,,1999
60614GTMNN1511W,7664417,1.0,,,,,1999
25213JHNMS1530W,N420,1.1,,,,,1999
07008SHLND350RO,78933,1.57,,,,,1999
33069FCHSL250SW,107211,1.1,,,,,1999
35222BRMCL616NO,7782505,1.03,,,,,1999
64804FGBRN3900R,7440473,1.06,,,,,1999
80022PHLLP3960E,108883,0.93,,,,,1999
03235PLYCL45TAN,N100,1.02,,,,,1999
70069DPNTPHIGHW,122394,1.0,,,,,1999
17403YRKNT631SR,7440508,100.0,,,,,1999
70805FRMSPGULFS,7647010,0.96,,,,,1999
08863PMCSPINDUS,50000,1.4,,,,,1999
47240MTCHS1811N,7439965,1.0,,,,,1999
55318MCLGH4001P,75092,1.51,,,,,1999
65803SPRRF2055E,75092,1.0,,,,,1999
02809PRMRT345TH,67561,0.95,,,,,1999
13850MRCNB200ST,7440508,0.97,,,,,1999
07306HDSNGDUFFI,N982,1.46,,,,,1999
61520CLCDC17751,N982,0.98,,,,,1999
36101KPPRS1451L,7440473,1.08,,,,,1999
02703TXSNS34FOR,79016,0.88,,,,,1999
29801RPHLN895UN,7440417,1.2,,,,,1999
00985MLNSDAVENI,74839,1.25,,,,,1999
60064MCCHM2100C,84742,0.0,,,,,1999
75119NNSPN2800O,N420,0.8,,,,,1999
53051MLSLV14765,1330207,0.0,,,,,1999
77592STRLN201BA,85449,1.13,,,,,1999
08066JHNSN2001A,N511,1.02,,,,,1999
81002BCRLC2300S,7440473,0.01,,,,,1999
99363BSCSCPOBOX,75070,1.03,,,,,1999
45331BSFCRSTATE,108101,1.06,,,,,1999
40217KNTCK2601S,1330207,0.0,,,,,1999
80022PHLLP3960E,67561,1.31,,,,,1999
44622DVRCHWESTF,7647010,1.17,,,,,1999
19440RPBLC2869S,N420,7.4,,,,,1999
77481WPRSHYUJON,N096,0.99,,,,,1999
77017LYNDL12000,85018,1.0,,,,,1999
65808DYCPR2601W,N982,0.97,,,,,1999
44720SCNDS8967P,7440508,1.19,,,,,1999
37355MTKNCINTER,108883,0.15,,,,,1999
54140JCKSP401WN,7664417,1.21,,,,,1999
19973SCJHN100IN,80626,1.2,,,,,1999
41042VNLRC7425I,N230,1.2,,,,,1999
43952WHLNGSOUTH,91203,0.79,,,,,1999
64119FRDMTHWY69,78933,0.92,,,,,1999
61108THVLS200SA,584849,0.91,,,,,1999
64119FRDMTHWY69,N982,0.92,,,,,1999
98632NTRXM3500I,7697372,1.05,,,,,1999
14150SNCNC3733R,100414,0.0,,,,,1999
24526NKSPCHIGHW,7647010,1.06,,,,,1999
25213JHNMS1530W,7647010,1.1,,,,,1999
43913CRDNL306CO,7647010,0.9,,,,,1999
28052FRGHT1400T,N982,1.0,,,,,1999
25086MRCNLRTE60,7664393,0.8,,,,,1999
84016FTRHMBLDGH,7697372,1.47,,,,,1999
75041SHLND3101W,107211,1.8,,,,,1999
35563MXXXXHIGHW,71363,1.22,,,,,1999
35563MXXXXHIGHW,N230,1.22,,,,,1999
28208DNCRP6900C,7429905,1.21,,,,,1999
17403YRKNT631SR,7440020,100.0,,,,,1999
12095HDSNNMAPLE,N090,1.06,,,,,1999
37363PWRSR9404O,N420,0.98,,,,,1999
44044RSSNC36790,108930,1.0,,,,,1999
77704MBLC2GULFS,N100,1.06,,,,,1999
54457NKSMLMARKE,N040,1.0,,,,,1999
48220GGPRD625WA,98828,1.12,,,,,1999
48054DTRTD4505K,N495,1.11,,,,,1999
65802MXXXX3211E,7429905,1.05,,,,,1999
