TRIFID,CAS NUMBER,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
26527PTRTMSTATE,N100,1.08,,,,,2008
60450RCHHLCOLLI,108316,0.95,,,,,2008
28352BTLRMHWY74,N230,0.99,,,,,2008
75069TXSNS2501W,7439921,1.05,,,,,2008
38106BLYPR184GI,N120,0.93,,,,,2008
06108PRTTW400MA,7440484,0.52,,,,,2008
19530MCCNWRAILR,N420,0.6,,,,,2008
70447QTBLXHWY21,7440508,1.1,,,,,2008
27021CRSTB3BIGA,7664417,0.96,,,,,2008
85310VLCNM11495,N590,0.1,,,,,2008
85201VLCNM1900N,N590,1.0,,,,,2008
53562FTRFM2210P,26471625,0.87,,,,,2008
13164MBLLS6700H,108883,0.97,,,,,2008
14151PXXXX175EA,7440508,32.6,,,,,2008
08861MRDHSSMITH,95636,0.97,,,,,2008
77704MBLCHGULFS,92524,1.0,,,,,2008
06478MDRNM11WIL,7697372,0.0,,,,,2008
53154PPGND10800,N230,0.87,,,,,2008
08069CRNYS500SH,N450,1.01,,,,,2008
65708FCCRPBRIDL,N090,1.09,,,,,2008
49953STNCNONESU,7782505,1.0,,,,,2008
46312NLNDS3210W,N511,0.9,,,,,2008
27263RYLDV325KE,7723140,0.65,,,,,2008
68601MNNST3000E,75070,1.01,,,,,2008
15907GTRXX119WA,N495,0.94,,,,,2008
21801PRDNCZIONC,110543,1.07,,,,,2008
72315TRRNT1000T,19666309,0.0,,,,,2008
64772MNVDPHIGHW,1330207,0.94,,,,,2008
85283CPTLC5857S,N090,0.91,,,,,2008
98225RSHNG742MA,7440473,0.64,,,,,2008
38375NTDST95LAK,N495,1.1,,,,,2008
76503THGLD3410L,108883,0.9,,,,,2008
46368BTSTL6500S,7439976,0.91,,,,,2008
66748MNRCHRR2BO,7439976,0.94,,,,,2008
79922CHMRX4600R,108883,1.0,,,,,2008
98108DLTMR1608S,100425,0.79,,,,,2008
65706WLCRP1450W,110543,0.92,,,,,2008
08861CHVRN1200S,N590,0.33,,,,,2008
88240NCHMN707NL,N230,0.63,,,,,2008
42029GFCHMHIGHW,7440508,0.96,,,,,2008
42029GFCHMHIGHW,N420,1.02,,,,,2008
24426WSTVCRIVER,67561,1.02,,,,,2008
62540KNCDG4MILE,N458,1.07,,,,,2008
46312NLNDS3210W,N725,0.9,,,,,2008
26527PTRTMSTATE,N040,1.08,,,,,2008
98607JMSRVNE4TH,50000,0.85,,,,,2008
97478KNGSF3315M,N420,0.97,,,,,2008
53207MLWKF1532E,N450,0.97,,,,,2008
98005PRNTD13221,7439921,0.97,,,,,2008
70129NSMCH13800,507551,1.0,,,,,2008
01151NSMLM73BWR,50000,0.97,,,,,2008
71371LCNDSJUCTI,N100,1.04,,,,,2008
54308THPRC501EA,7664939,1.16,,,,,2008
66227KCCTN8501H,95636,1.0,,,,,2008
38017CRRRC975BY,7439921,0.9,,,,,2008
43416BRSHWSOUTH,N420,1.0,,,,,2008
12144MRDHS367AM,100414,0.59,,,,,2008
33830RSTCHSOUTH,100425,0.65,,,,,2008
47802WSTRN2525P,120127,1.07,,,,,2008
37172WCRNG1100I,N040,1.1,,,,,2008
03060PCDHS3EAST,121448,1.0,,,,,2008
49953STNCNONESU,7647010,1.0,,,,,2008
55110HBFLL3450L,N120,2.0,,,,,2008
49720MDSCMBELLS,7439976,0.75,,,,,2008
81424TRSTT30739,N458,1.01,,,,,2008
77086PLTND11623,95476,1.0,,,,,2008
54401MGRYSNFOUR,N450,0.92,,,,,2008
92113SNDGG3586D,N982,1.02,,,,,2008
07036XXNXX1400P,N150,0.97,,,,,2008
28402CPNDSHIGHW,N590,1.17,,,,,2008
93637PCFCT3147A,7664417,0.84,,,,,2008
52404DMCRN1350W,N090,1.01,,,,,2008
68869BNGBN35955,110543,2.37,,,,,2008
70669PPGNDCOLUM,N982,1.02,,,,,2008
05461NTRNTPOBOX,N590,0.65,,,,,2008
00701DPNTGHIGHW,N511,0.63,,,,,2008
59912PLMCRPOBOX,N420,0.79,,,,,2008
07008MCLC0760RO,N420,1.08,,,,,2008
44012BFGDRMOORE,N010,1.31,,,,,2008
42420GMCPR11055,7440508,0.59,,,,,2008
65101DLNGSDIXAN,7440666,1.44,,,,,2008
89003SCLGYHWY95,N740,1.03,,,,,2008
89003SCLGYHWY95,107211,0.79,,,,,2008
93308TXCRF2436F,110543,1.0,,,,,2008
08052STNHR1PARK,80057,0.25,,,,,2008
53158HNYWL77195,7440508,0.86,,,,,2008
38563SVGZN120ZI,N982,2.0,,,,,2008
60152THVLS1400N,141322,0.99,,,,,2008
15233THVLS2000W,108883,1.16,,,,,2008
59323MNTNPWILLO,118741,1.03,,,,,2008
19146SCHYL2800C,1332214,0.36,,,,,2008
52761PTTRS49755,7439921,0.07,,,,,2008
54401MGRYSNFOUR,N090,0.92,,,,,2008
47630LMNMCHIGHW,7782505,0.96,,,,,2008
93637PCFCT3147A,64186,0.84,,,,,2008
71611NTRNTFAIRF,75070,1.02,,,,,2008
77292NTRNT6001A,106423,1.07,,,,,2008
71009PNCXXHIGHW,124403,0.86,,,,,2008
32533MNSNT3000O,7440508,1.0,,,,,2008
07008MCLC0760RO,108883,1.08,,,,,2008
71292MNVLL1031J,7439965,0.93,,,,,2008
1633WSTKTM1965M,191242,0.5,,,,,2008
45144DYTNP14869,7664939,0.88,,,,,2008
93308TXCRF3663G,106990,0.96,,,,,2008
45804SPRRF1820M,7440020,0.98,,,,,2008
55303GRCNC121LU,7440508,2.0,,,,,2008
75042DSTNC701SH,108883,1.02,,,,,2008
60090NTRPR1991W,N982,0.99,,,,,2008
42101LLLYN347CE,N230,0.68,,,,,2008
20664MRGNT12620,N495,0.98,,,,,2008
