SRS INTERNAL TRACKING NUMBER,FOR WHAT IS TRANSFERRED,TIME
1008,Absorption,1232
1008,Air or steam stripping,1
1008,Biological treatment,14
1008,Chemical oxidation,3
1008,Chemical reduction with or without precipitation,10
1008,Chemical treatment (reduction / destruction / oxidation /precipitation),5
1008,"Combination of chemical, biological and/or physical treatment",6
1008,Deepwell or underground injection (with or without treatment),298
1008,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),4
1008,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),2409
1008,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),544
1008,Incineration; thermal destruction other than use as a fuel,5386
1008,Land treatment or application (with any prior treatment and/or stabilization),59
1008,Landfill (with prior treatment and/or stabilization),1994
1008,Macro-encapsulation prior to disposal at another site,586
1008,"Metals recovery including retorting, smelting, chemical, etc.",16
1008,Neutralization only,30
1008,Other Disposal,555
1008,Other chemical precipitation with or without pre-treatment,10
1008,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",430
1008,Other treatment that does not include on-site disposal,442
1008,Solvents recovery,35
1008,Stabilization or chemical fixation prior to disposal at another site,28
1008,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),6
1008,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),16
1032,Chemical treatment (reduction / destruction / oxidation /precipitation),2
1032,"Combination of chemical, biological and/or physical treatment",1
1032,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),5
1032,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),16
1032,Incineration; thermal destruction other than use as a fuel,265
1032,Landfill (with prior treatment and/or stabilization),5
1032,Macro-encapsulation prior to disposal at another site,1
1032,"Metals recovery including retorting, smelting, chemical, etc.",1
1032,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",1
1032,Other treatment that does not include on-site disposal,4
1032,Stabilization or chemical fixation prior to disposal at another site,1
1032,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
1057,Chemical treatment (reduction / destruction / oxidation /precipitation),1
1057,"Combination of chemical, biological and/or physical treatment",2
1057,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
1057,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),19
1057,Incineration; thermal destruction other than use as a fuel,240
1057,Land treatment or application (with any prior treatment and/or stabilization),1
1057,Landfill (with prior treatment and/or stabilization),8
1057,Neutralization only,6
1057,Other treatment that does not include on-site disposal,3
1057,Solvents recovery,1
1057,Stabilization or chemical fixation prior to disposal at another site,2
1057,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
1107,Chemical oxidation,2
1107,Chemical treatment (reduction / destruction / oxidation /precipitation),2
1107,"Combination of chemical, biological and/or physical treatment",1
1107,Deepwell or underground injection (with or without treatment),4
1107,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
1107,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),10
1107,Incineration; thermal destruction other than use as a fuel,138
1107,Land treatment or application (with any prior treatment and/or stabilization),1
1107,Landfill (with prior treatment and/or stabilization),9
1107,Other treatment that does not include on-site disposal,3
1107,Stabilization or chemical fixation prior to disposal at another site,1
1107,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),4
1115,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
1115,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),22
1115,Incineration; thermal destruction other than use as a fuel,48
1115,Other chemical precipitation with or without pre-treatment,3
1115,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",2
1115,Solvents recovery,1
1156,"Combination of chemical, biological and/or physical treatment",2
1156,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),2
1156,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),4
1156,Incineration; thermal destruction other than use as a fuel,70
1156,Neutralization only,1
1156,Other treatment that does not include on-site disposal,2
1263,Absorption,3
1263,Deepwell or underground injection (with or without treatment),6
1263,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),19
1263,Incineration; thermal destruction other than use as a fuel,117
1263,Landfill (with prior treatment and/or stabilization),13
1263,Macro-encapsulation prior to disposal at another site,3
1263,Other Disposal,2
1263,Other treatment that does not include on-site disposal,5
1305,Incineration; thermal destruction other than use as a fuel,8
1305,Land treatment or application (with any prior treatment and/or stabilization),1
1305,Landfill (with prior treatment and/or stabilization),5
1305,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",2
1313,Absorption,20
1313,"Combination of chemical, biological and/or physical treatment",2
