PRIMARY NAICS CODE,TRIFID,REPORTING YEAR,DISPOSAL ACTIVITY,UNIT OF MEASURE,TRI_CHEM_ID,FLOW
111310,33830RNGCF2020U,1987,Land treatment/application farming,kg,1310732,6350.288
327999,17901WRLDRWALNU,1987,Underground injection to class i wells,kg,N495,0.226796
327999,22601BXCRP2410P,1987,Other landfills,kg,1332214,136077.6
327999,22601BXCRP2410P,1987,Other landfills,kg,7439921,113.398
327999,30318HTCXX2300M,1987,Land treatment/application farming,kg,71556,0.226796
327999,30318HTCXX2300M,1987,Other landfills,kg,71556,0.226796
327999,30318HTCXX2300M,1987,Underground injection to class i wells,kg,71556,0.226796
327999,49022LCCRP1920Y,1987,Other landfills,kg,1344281,113.398
327999,72216MXXXXPOBOX,1987,Land treatment/application farming,kg,N090,113.398
327999,72216MXXXXPOBOX,1987,Land treatment/application farming,kg,N982,113.398
327999,72956CPCPP603SO,1987,Other landfills,kg,1332214,24947.56
327999,85043WRLDR8113W,1987,Other landfills,kg,N100,0.226796
327999,85043WRLDR8113W,1987,Underground injection to class i wells,kg,N100,0.226796
331110,06607CRPNT837SE,1987,Other landfills,kg,7439965,312116.6552
331110,06607CRPNT837SE,1987,Other landfills,kg,7440020,23496.065599999998
331110,06607CRPNT837SE,1987,Other landfills,kg,7440508,1179.3392
331110,08110NTDST1650S,1987,Other landfills,kg,1310732,226.796
331110,08110NTDST1650S,1987,Other landfills,kg,7440020,340.194
331110,15059JLSPC12THS,1987,Other disposal,kg,7664393,113.398
331110,15059JLSPC12THS,1987,Other disposal,kg,7647010,113.398
331110,15059JLSPC12THS,1987,Other disposal,kg,7440666,0.226796
331110,15059JLSPC12THS,1987,Other disposal,kg,7440473,0.226796
331110,15059JLSPC12THS,1987,Other disposal,kg,7440020,0.226796
331110,15059JLSPC12THS,1987,Other disposal,kg,7439965,0.226796
327999,17901WRLDRWALNU,1987,Underground injection to class i wells,kg,N100,0.226796
331110,15059JLSPC12THS,1987,Other disposal,kg,7439921,0.0453592
331110,15025SSCLR400ST,1987,Other landfills,kg,1344281,3265862.4
331110,14218BTHLHGALVA,1987,Other landfills,kg,N982,635028.8
331110,13209CRCBLSTATE,1987,Other landfills,kg,N495,57606.184
331110,13209CRCBLSTATE,1987,Other landfills,kg,N450,56245.407999999996
331110,13209CRCBLSTATE,1987,Other landfills,kg,N090,158757.2
331110,08110NTDST1650S,1987,Other landfills,kg,7664939,113.398
331110,15059JLSPC12THS,1987,Other disposal,kg,1310732,113.398
327999,17901WRLDRWALNU,1987,Other landfills,kg,N495,0.226796
327999,17901WRLDRWALNU,1987,Other landfills,kg,N100,0.226796
327993,91719MNVLL1251M,1987,Other landfills,kg,50000,1832.51168
327992,45215LCHMN1LAND,1987,Other disposal,kg,1344281,113.398
327992,42240SPRRG4021C,1987,Underground injection to class i wells,kg,7757826,0.226796
