DISPOSAL ACTIVITY,REPORTING YEAR,UNIT OF MEASURE,TRIFID,PRIMARY NAICS CODE,CAS NUMBER,FLOW
Land treatment/application farming,1993,kg,00632BCRDCSTREE,312140,7664939,0.226796
Other landfills,1993,kg,45365STLLC2633C,332812,7664939,0.226796
Other landfills,1993,kg,45365STLLC2633C,332812,71363,0.226796
Other landfills,1993,kg,45365STLLC2633C,332812,1330207,0.226796
Other landfills,1993,kg,45365STLLC2633C,332812,108883,0.226796
Other landfills,1993,kg,45365STLLC2633C,332812,107211,0.226796
Other landfills,1993,kg,45365STLLC2633C,332812,100414,0.226796
Other landfills,1993,kg,45365STLLC2633C,332322,N230,0.226796
Other landfills,1993,kg,45365DRSSRNMAIN,333912,7440508,2.26796
Other landfills,1993,kg,45365DRSSRNMAIN,333912,7439965,2.26796
Other landfills,1993,kg,45225MDLPT3242S,331524,7440508,0.226796
Other landfills,1993,kg,45215RBRZC940RE,332811,79016,0.226796
Other landfills,1993,kg,45215RBRZC940RE,332811,71556,0.226796
Other landfills,1993,kg,45056SQRDC5735C,335311,7440508,566.99
Other landfills,1993,kg,45365STLLC2633C,332812,7697372,0.226796
Other landfills,1993,kg,45050RKYPL240AM,326121,108883,0.226796
Other landfills,1993,kg,45043RMCNC1801C,331110,N420,22679.6
Other landfills,1993,kg,45039CNCNN537GR,334413,7647010,2.26796
Other landfills,1993,kg,44870GCFND2806W,331511,7439965,5292.965048
Other landfills,1993,kg,44864MNSFL150FI,327110,N982,36573.12296
Other landfills,1993,kg,44864MNSFL150FI,327110,7440508,138.799152
Other landfills,1993,kg,44864MNSFL150FI,327110,7439921,86.18248
Other landfills,1993,kg,44846GRWRSLOCKW,325314,7664382,0.226796
Other landfills,1993,kg,44830SNCWR319SO,331222,7439921,0.0453592
Other landfills,1993,kg,44820HRVRDBEALA,326220,N982,3583.3768
Other landfills,1993,kg,44820HRVRDBEALA,326220,N420,544.3104
Other landfills,1993,kg,44820HRVRDBEALA,326220,N078,498.9512
Other landfills,1993,kg,44820HRVRDBEALA,326220,N040,344.72992
Other landfills,1993,kg,44820HRVRDBEALA,326220,103231,2630.8336
Other landfills,1993,kg,45043RMCNC1801C,331110,N450,117933.92
Other landfills,1993,kg,45365STLLC2633C,332812,78933,0.226796
Other landfills,1993,kg,45365STLLC2633C,332812,91203,0.226796
Other landfills,1993,kg,45365STLLC2633C,332812,95636,0.226796
Other landfills,1993,kg,46304BTHLHBURNS,331110,91225,0.226796
Other landfills,1993,kg,46304BTHLHBURNS,331110,7664939,0.226796
Other landfills,1993,kg,46304BTHLHBURNS,331110,7664417,0.226796
Other landfills,1993,kg,46304BTHLHBURNS,331110,7664382,0.226796
Other landfills,1993,kg,46304BTHLHBURNS,331110,71556,0.226796
Other landfills,1993,kg,46304BTHLHBURNS,331110,1330207,0.226796
Other landfills,1993,kg,46304BTHLHBURNS,331110,120127,0.226796
Other landfills,1993,kg,46304BTHLHBURNS,331110,110861,0.226796
Other landfills,1993,kg,46304BTHLHBURNS,331110,108952,0.226796
Other landfills,1993,kg,46304BTHLHBURNS,331110,108883,0.226796
Other landfills,1993,kg,46304BTHLHBURNS,331110,106990,0.226796
Other landfills,1993,kg,46304BTHLHBURNS,331110,100425,0.226796
Other landfills,1993,kg,46241RLLYT1500S,325194,75058,0.226796
Other landfills,1993,kg,46135LNSTRPUTNA,327310,N090,2680.72872
Other landfills,1993,kg,46060NBLSV1600S,331511,7439965,635.0288
Other landfills,1993,kg,45879LFRGCCOUNT,327310,7440473,3129.7848
Other landfills,1993,kg,45840HSNNC1849I,336390,1330207,0.226796
Other landfills,1993,kg,45840HSNNC1849I,336390,108101,0.226796
Other landfills,1993,kg,45840HSNNC1849I,332813,7664939,0.226796
Other landfills,1993,kg,45804WHMCX1600M,331511,7440473,34291.5552
Other landfills,1993,kg,45804WHMCX1600M,331511,7440020,21772.416
Other landfills,1993,kg,45804WHMCX1600M,331511,7439965,38101.728
Other landfills,1993,kg,45656PGRNRCOUNT,327120,N040,113.398
Other landfills,1993,kg,45656PGRNRCOUNT,327120,7664382,3466.3500639999997
Other landfills,1993,kg,45418PLTNG1525W,332813,N982,41641.559968
Other landfills,1993,kg,45387VRNYL875DA,326291,127184,0.226796
Other landfills,1993,kg,45387VRNYL875DA,326299,127184,0.226796
Other landfills,1993,kg,45365STLLC2633C,332812,N495,0.226796
Other landfills,1993,kg,45365STLLC2633C,332812,N090,0.226796
Other landfills,1993,kg,45365STLLC2633C,332812,N010,0.226796
Other landfills,1993,kg,44805FLTLS268EA,326299,N982,0.226796
Other landfills,1993,kg,44805FLTLS268EA,336612,N982,0.226796
Other landfills,1993,kg,46304BTHLHBURNS,331110,95636,0.226796
Other landfills,1993,kg,44805FLTLS1111F,326299,108883,0.226796
Other landfills,1993,kg,44805FLTLS1111F,336612,108883,0.226796
Other landfills,1993,kg,44707MTRPL1201M,327120,N090,113.398
Other landfills,1993,kg,43702BRNHM2345L,331511,50000,72.57472
Other landfills,1993,kg,43702BRNHM2345L,331511,1344281,24947.56
Other landfills,1993,kg,43702BRNHM2345L,331511,108952,725.7472
Other landfills,1993,kg,43702BRNHM2345L,331511,101688,10.886208
Other landfills,1993,kg,43605NTNLC1414E,331513,7439965,124533.230008
Other landfills,1993,kg,43567MLTCS225EL,331524,7440508,1.814368
Other landfills,1993,kg,43545NVRSL1253I,325320,7440508,113.398
Other landfills,1993,kg,43512MNVLLTHIRD,327993,50000,0.226796
Other landfills,1993,kg,43512MNVLLCARPE,327993,7664417,1696.43408
Other landfills,1993,kg,43512MNVLLCARPE,327993,50000,6157.5114
Other landfills,1993,kg,43512MNVLLCARPE,327993,108952,1323.127864
