DISPOSAL ACTIVITY,TRIFID,PRIMARY NAICS CODE,REPORTING YEAR,TRI_CHEM_ID,UNIT OF MEASURE,FLOW
Land treatment/application farming,01588CMTRNONEMA,331491,1999,7440508,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,52857,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,50000,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,330552,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,302012,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,19044883,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,1634044,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,1330207,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,1319773,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,1313275,kg,34690.716159999996
Other landfills,69145CLNHR5MISO,562211,1999,127184,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,126998,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,123911,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,123319,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,121448,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,121142,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,120821,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,118741,kg,0.0453592
Other landfills,69145CLNHR5MISO,562211,1999,111422,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,110861,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,110827,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,110543,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,108952,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,108907,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,108883,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,108101,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,540590,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,108054,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,56235,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,62533,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,8001589,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,79345,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,79061,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,79016,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,79005,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,78933,kg,0.226796
Other landfills,69145CLNHR5MISO,562211,1999,7664939,kg,0.226796
