DISPOSAL ACTIVITY,REPORTING YEAR,UNIT OF MEASURE,TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,FLOW
Land treatment/application farming,2001,kg,00851HSSLVLIMET,324110,7439921,5.443104
Other landfills,2001,kg,41056DRVLMROUTE,327410,191242,0.56699
Other landfills,2001,kg,41056DRVLMROUTE,327410,7439921,0.2041164
Other landfills,2001,kg,41056DRVLMROUTE,327410,7439976,0.0453592
Other landfills,2001,kg,41056DRVLMROUTE,327410,7440020,2161.819472
Other landfills,2001,kg,41056DRVLMROUTE,327410,7440622,1746.782792
Other landfills,2001,kg,41056DRVLMROUTE,327410,N150,0.00045000000000000004
Other landfills,2001,kg,41056DRVLMROUTE,327410,N590,115.439164
Other landfills,2001,kg,41056SPRLCRTE8X,221112,N020,14061.351999999999
Other landfills,2001,kg,41056SPRLCRTE8X,221112,N040,154221.28
Other landfills,2001,kg,41056SPRLCRTE8X,221112,N090,27215.52
Other landfills,2001,kg,41056SPRLCRTE8X,221112,N096,9525.432
Other landfills,2001,kg,41056SPRLCRTE8X,221112,N100,31297.847999999998
Other landfills,2001,kg,41056SPRLCRTE8X,221112,N420,13154.168
Other landfills,2001,kg,41056SPRLCRTE8X,221112,N450,33112.216
Other landfills,2001,kg,41042SWCNC8029D,333249,7440473,2.26796
Other landfills,2001,kg,41056SPRLCRTE8X,221112,N458,41.276872
Other landfills,2001,kg,41056SPRLCRTE8X,221112,N770,32205.032
Other landfills,2001,kg,41056SPRLCRTE8X,221112,N982,36287.36
Other landfills,2001,kg,41091CGGSTRT338,221112,N020,13426.3232
Other landfills,2001,kg,41091CGGSTRT338,221112,N040,48080.752
Other landfills,2001,kg,41091CGGSTRT338,221112,N090,19459.0968
Other landfills,2001,kg,41091CGGSTRT338,221112,N100,27215.52
Other landfills,2001,kg,41091CGGSTRT338,221112,N420,13392.1677224
Other landfills,2001,kg,41091CGGSTRT338,221112,N450,24267.172
Other landfills,2001,kg,41091CGGSTRT338,221112,N458,79.8775512
Other landfills,2001,kg,41091CGGSTRT338,221112,N495,28440.218399999998
Other landfills,2001,kg,41091CGGSTRT338,221112,N770,36060.564
Other landfills,2001,kg,41091CGGSTRT338,221112,N982,19141.5824
Other landfills,2001,kg,41143CKFML800CW,311612,N511,2.26796
Other landfills,2001,kg,41224MRTNC3201R,212111,N982,2360.492768
Other landfills,2001,kg,41056SPRLCRTE8X,221112,N495,25854.744
Other landfills,2001,kg,41701TRSJS610TR,321219,N420,9.842946399999999
Other landfills,2001,kg,41042SWCNC8029D,333249,7440020,2.26796
Other landfills,2001,kg,41015THRML4301B,326199,75456,0.226796
Other landfills,2001,kg,41015THRML4301B,336612,75456,0.226796
Other landfills,2001,kg,40216LSVLL5252C,221112,N458,129.27372
Other landfills,2001,kg,40216LSVLL5252C,221112,N495,18506.5536
Other landfills,2001,kg,40216LSVLL5252C,221112,N770,71667.536
Other landfills,2001,kg,40216LSVLL5252C,221112,N982,58513.368
Other landfills,2001,kg,40272LSVLL14660,221112,N020,1179.3392
Other landfills,2001,kg,40272LSVLL14660,221112,N040,10069.7424
Other landfills,2001,kg,40272LSVLL14660,221112,N050,31.75144
Other landfills,2001,kg,40272LSVLL14660,221112,N090,907.184
Other landfills,2001,kg,40272LSVLL14660,221112,N096,99.79024
Other landfills,2001,kg,40272LSVLL14660,221112,N100,680.388
Other landfills,2001,kg,40272LSVLL14660,221112,N420,439.98424
Other landfills,2001,kg,40272LSVLL14660,221112,N450,8482.170399999999
Other landfills,2001,kg,40272LSVLL14660,221112,N458,19.504456
