REPORTING YEAR,PRIMARY NAICS CODE,DISPOSAL ACTIVITY,UNIT OF MEASURE,TRI_CHEM_ID,TRIFID,FLOW
2004,111120,Other landfills,kg,7439921.0,84074KZSLT1428H,2.26796
2004,331410,Other surface impoundment,kg,7697372.0,84404WSTRN10000,0.226796
2004,331420,Other landfills,kg,7440508.0,13032WLWRCRTE5X,2.26796
2004,331420,Other disposal,kg,7440508.0,03585NWNGL365MA,0.226796
2004,331420,RCRA subtitle c landfills,kg,7440508.0,28677CMMSC125CO,2.26796
2004,331420,Other disposal,kg,7440020.0,52404PMXND5300W,1.814368
2004,331420,Other disposal,kg,7440508.0,52404PMXND5300W,13.607759999999999
2004,331420,Underground injection to class ii-v wells,kg,7440508.0,08822NTDST408RO,2.26796
2004,331491,Other disposal,kg,7440020.0,44622DVRPR200WB,0.226796
2004,331491,Other disposal,kg,7440020.0,61109WRTCH84039,0.226796
2004,331491,Other disposal,kg,7440473.0,61109WRTCH84039,0.226796
2004,331491,Other disposal,kg,7440508.0,61109WRTCH84039,0.226796
2004,331491,Other landfills,kg,7440508.0,22701THRCH751OL,0.60327736
2004,331492,Other disposal,kg,7440020.0,15853CCMTNRTE94,0.226796
2004,331492,Other disposal,kg,7440508.0,15853CCMTNRTE94,0.226796
2004,331492,Other disposal,kg,7697372.0,55060JSTNS1900H,0.226796
2004,331410,Other surface impoundment,kg,7664417.0,84404WSTRN10000,154221.28
2004,331492,Other landfills,kg,7439921.0,36081SNDRSHENDE,807798.364064
2004,331410,Other surface impoundment,kg,7664393.0,84404WSTRN10000,0.226796
2004,331410,Other surface impoundment,kg,118741.0,84404WSTRN10000,4.082328
2004,331410,Other disposal,kg,7429905.0,63048HRCLN881MA,862272.495304
2004,331410,Other disposal,kg,7439921.0,19135BNGTN49244,0.0453592
2004,331410,Other disposal,kg,7439921.0,84074MXMGNROWLE,4.53592
2004,331410,Other disposal,kg,7440224.0,19135BNGTN49244,0.226796
