DISPOSAL ACTIVITY,TRIFID,UNIT OF MEASURE,PRIMARY NAICS CODE,TRI_CHEM_ID,REPORTING YEAR,FLOW
Land treatment/application farming,04730STLYMRT4BO,kg,311221,75569,2018,0.226796
Other landfills,77630JMHBRFM736,kg,325180,N590,2018,1.22923432
Other landfills,77630JMHBRFM736,kg,325180,191242,2018,0.04989512
Other landfills,77541THDWCBUILD,kg,325199,N982,2018,17861.092184
Other landfills,77541THDWCBUILD,kg,325199,N590,2018,469.921312
Other landfills,77541THDWCBUILD,kg,325199,N458,2018,1.814368
Other landfills,77541THDWCBUILD,kg,325199,N420,2018,471.73568
Other landfills,77541THDWCBUILD,kg,325199,N230,2018,2.721552
Other landfills,77541THDWCBUILD,kg,325199,N150,2018,4.762063
Other landfills,77541THDWCBUILD,kg,325199,N100,2018,3065.828328
Other landfills,77541THDWCBUILD,kg,325199,N084,2018,0.226796
Other landfills,77541THDWCBUILD,kg,325199,N040,2018,4454.727032
Other landfills,77541THDWCBUILD,kg,325199,98828,2018,16.329312
Other landfills,77541THDWCBUILD,kg,325199,96184,2018,4.53592
Other landfills,77541THDWCBUILD,kg,325199,95636,2018,24.94756
Other landfills,77541THDWCBUILD,kg,325199,91203,2018,248.56841599999998
Other landfills,77541THDWCBUILD,kg,325199,87865,2018,0.226796
Other landfills,77541THDWCBUILD,kg,325199,86306,2018,1.814368
Other landfills,77541THDWCBUILD,kg,325199,79345,2018,0.226796
Other landfills,77541THDWCBUILD,kg,325199,79016,2018,3.628736
Other landfills,77630NLNDROLDHI,kg,322130,108952,2018,27.056762799999998
Other landfills,77541THDWCBUILD,kg,325199,79005,2018,0.226796
Other landfills,77630NLNDROLDHI,kg,322130,120809,2018,5.0802304
Other landfills,77630NLNDROLDHI,kg,322130,64186,2018,125.80827712
Other landfills,77656PLPPPPOBOX,kg,322130,N040,2018,27445.604542
Other landfills,77656PLPPPPOBOX,kg,322130,7783064,2018,252.40580432000002
Other landfills,77656PLPPPPOBOX,kg,322130,75070,2018,1.25644984
Other landfills,77656PLPPPPOBOX,kg,322130,67561,2018,1243.3863904
Other landfills,77656PLPPPPOBOX,kg,322130,64186,2018,2.19084936
Other landfills,77656PLPPPPOBOX,kg,322130,50000,2018,11.448662079999998
Other landfills,77656PLPPPPOBOX,kg,322130,1319773,2018,2.4085735199999996
Other landfills,77656PLPPPPOBOX,kg,322130,120809,2018,1.02965384
Other landfills,77656PLPPPPOBOX,kg,322130,108952,2018,1.88694272
Other landfills,77630NLNDROLDHI,kg,322130,N982,2018,36734.02111424
Other landfills,77630NLNDROLDHI,kg,322130,N458,2018,5.0348711999999995
Other landfills,77630NLNDROLDHI,kg,322130,N450,2018,66646.93480432
Other landfills,77630NLNDROLDHI,kg,322130,N420,2018,780.1102012
